# packages in environment at /media/shahriar-rizvi/15ff04dd-7d57-4f19-9c76-148a0b65e70d1/conda_storage/envs/spicscon26:
#
# Name                              Version          Build                 Channel
_openmp_mutex                       4.5              20_gnu                conda-forge
alsa-lib                            1.2.15.3         hb03c661_0            conda-forge
anyio                               4.13.0           pyhcf101f3_0          conda-forge
argon2-cffi                         25.1.0           pyhd8ed1ab_0          conda-forge
argon2-cffi-bindings                25.1.0           py311h49ec1c0_2       conda-forge
arrow                               1.4.0            pyhcf101f3_0          conda-forge
asttokens                           3.0.1            pyhd8ed1ab_0          conda-forge
async-lru                           2.3.0            pyhcf101f3_0          conda-forge
attrs                               26.1.0           pyhcf101f3_0          conda-forge
aws-c-auth                          0.10.3           h3aafcba_1            conda-forge
aws-c-cal                           0.9.14           h8e43964_1            conda-forge
aws-c-common                        0.13.1           hb03c661_0            conda-forge
aws-c-compression                   0.3.2            h16e98cb_1            conda-forge
aws-c-event-stream                  0.7.1            h9be7a74_1            conda-forge
aws-c-http                          0.11.0           hcbcd92d_1            conda-forge
aws-c-io                            0.26.3           h955231c_3            conda-forge
aws-c-mqtt                          0.15.2           h8af55cf_3            conda-forge
aws-c-s3                            0.12.3           h00bea6e_2            conda-forge
aws-c-sdkutils                      0.2.4            h16e98cb_5            conda-forge
aws-checksums                       0.2.10           h16e98cb_1            conda-forge
aws-crt-cpp                         0.38.3           h7b0d4b4_2            conda-forge
aws-sdk-cpp                         1.11.747         h5a171d8_5            conda-forge
azure-core-cpp                      1.16.2           h206d751_0            conda-forge
azure-identity-cpp                  1.13.3           hed0cdb0_1            conda-forge
azure-storage-blobs-cpp             12.17.0          hf824e48_1            conda-forge
azure-storage-common-cpp            12.13.0          ha7a2c86_0            conda-forge
azure-storage-files-datalake-cpp    12.15.0          h1e5b466_0            conda-forge
babel                               2.18.0           pyhcf101f3_1          conda-forge
backports.zstd                      1.5.0            py311h6b1f9c4_0       conda-forge
beautifulsoup4                      4.14.3           pyha770c72_0          conda-forge
bleach                              6.3.0            pyhcf101f3_1          conda-forge
bleach-with-css                     6.3.0            hbca2aae_1            conda-forge
brotli                              1.2.0            hed03a55_1            conda-forge
brotli-bin                          1.2.0            hb03c661_1            conda-forge
brotli-python                       1.2.0            py311h66f275b_1       conda-forge
bzip2                               1.0.8            hda65f42_9            conda-forge
c-ares                              1.34.6           hb03c661_0            conda-forge
ca-certificates                     2026.5.20        hbd8a1cb_0            conda-forge
cached-property                     1.5.2            hd8ed1ab_1            conda-forge
cached_property                     1.5.2            pyha770c72_1          conda-forge
cairo                               1.18.4           he90730b_1            conda-forge
certifi                             2026.5.20        pyhd8ed1ab_0          conda-forge
cffi                                2.0.0            py311h03d9500_1       conda-forge
charset-normalizer                  3.4.7            pyhd8ed1ab_0          conda-forge
