sample_id,timestamp,device,scenario,distance_m,position_id,blockage,light_value,unit,notes
1,2026-05-31 16:10:01,iphone 17,light_physical_sanity,1.0,P1,unblocked,600.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=1
2,2026-05-31 16:10:05,iphone 17,light_physical_sanity,1.0,P1,unblocked,650.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=2
3,2026-05-31 16:10:08,iphone 17,light_physical_sanity,1.0,P1,unblocked,800.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=3
4,2026-05-31 16:10:16,iphone 17,light_physical_sanity,1.0,P1,unblocked,534.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=4
5,2026-05-31 16:10:20,iphone 17,light_physical_sanity,1.0,P1,unblocked,596.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=5
6,2026-05-31 16:10:26,iphone 17,light_physical_sanity,1.0,P1,unblocked,512.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=6
7,2026-05-31 16:10:28,iphone 17,light_physical_sanity,1.0,P1,unblocked,600.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=7
8,2026-05-31 16:10:31,iphone 17,light_physical_sanity,1.0,P1,unblocked,610.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=8
9,2026-05-31 16:10:36,iphone 17,light_physical_sanity,1.0,P1,unblocked,670.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=9
10,2026-05-31 16:10:39,iphone 17,light_physical_sanity,1.0,P1,unblocked,705.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=10
11,2026-05-31 16:11:06,iphone 17,light_physical_sanity,2.0,P2,unblocked,410.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=1
12,2026-05-31 16:11:08,iphone 17,light_physical_sanity,2.0,P2,unblocked,493.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=2
13,2026-05-31 16:11:11,iphone 17,light_physical_sanity,2.0,P2,unblocked,511.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=3
14,2026-05-31 16:11:15,iphone 17,light_physical_sanity,2.0,P2,unblocked,369.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=4
15,2026-05-31 16:11:18,iphone 17,light_physical_sanity,2.0,P2,unblocked,347.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=5
16,2026-05-31 16:11:24,iphone 17,light_physical_sanity,2.0,P2,unblocked,369.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=6
17,2026-05-31 16:11:27,iphone 17,light_physical_sanity,2.0,P2,unblocked,489.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=7
18,2026-05-31 16:11:31,iphone 17,light_physical_sanity,2.0,P2,unblocked,579.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=8
19,2026-05-31 16:11:34,iphone 17,light_physical_sanity,2.0,P2,unblocked,513.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=9
20,2026-05-31 16:11:38,iphone 17,light_physical_sanity,2.0,P2,unblocked,546.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=10
21,2026-05-31 16:12:07,iphone 17,light_physical_sanity,3.0,P3,unblocked,354.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=1
22,2026-05-31 16:12:09,iphone 17,light_physical_sanity,3.0,P3,unblocked,312.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=2
23,2026-05-31 16:12:10,iphone 17,light_physical_sanity,3.0,P3,unblocked,405.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=3
24,2026-05-31 16:12:12,iphone 17,light_physical_sanity,3.0,P3,unblocked,339.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=4
25,2026-05-31 16:12:13,iphone 17,light_physical_sanity,3.0,P3,unblocked,374.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=5
26,2026-05-31 16:12:16,iphone 17,light_physical_sanity,3.0,P3,unblocked,315.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=6
27,2026-05-31 16:12:20,iphone 17,light_physical_sanity,3.0,P3,unblocked,287.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=7
28,2026-05-31 16:12:24,iphone 17,light_physical_sanity,3.0,P3,unblocked,354.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=8
29,2026-05-31 16:12:27,iphone 17,light_physical_sanity,3.0,P3,unblocked,369.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=9
30,2026-05-31 16:12:28,iphone 17,light_physical_sanity,3.0,P3,unblocked,354.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=10
31,2026-05-31 16:44:17,iphone 17,light_physical_sanity,4.0,P4,unblocked,290.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=1
32,2026-05-31 16:44:19,iphone 17,light_physical_sanity,4.0,P4,unblocked,294.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=2
33,2026-05-31 16:44:20,iphone 17,light_physical_sanity,4.0,P4,unblocked,310.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=3
34,2026-05-31 16:44:21,iphone 17,light_physical_sanity,4.0,P4,unblocked,350.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=4
35,2026-05-31 16:44:26,iphone 17,light_physical_sanity,4.0,P4,unblocked,245.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=5
36,2026-05-31 16:44:29,iphone 17,light_physical_sanity,4.0,P4,unblocked,260.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=6
37,2026-05-31 16:44:31,iphone 17,light_physical_sanity,4.0,P4,unblocked,365.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=7
38,2026-05-31 16:44:33,iphone 17,light_physical_sanity,4.0,P4,unblocked,320.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=8
39,2026-05-31 16:44:38,iphone 17,light_physical_sanity,4.0,P4,unblocked,301.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=9
40,2026-05-31 16:44:43,iphone 17,light_physical_sanity,4.0,P4,unblocked,291.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=10
41,2026-05-31 16:45:00,iphone 17,light_physical_sanity,5.0,P5,unblocked,165.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=1
42,2026-05-31 16:45:02,iphone 17,light_physical_sanity,5.0,P5,unblocked,169.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=2
43,2026-05-31 16:45:04,iphone 17,light_physical_sanity,5.0,P5,unblocked,130.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=3
44,2026-05-31 16:45:08,iphone 17,light_physical_sanity,5.0,P5,unblocked,1778.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=4
45,2026-05-31 16:45:12,iphone 17,light_physical_sanity,5.0,P5,unblocked,210.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=5
46,2026-05-31 16:45:16,iphone 17,light_physical_sanity,5.0,P5,unblocked,200.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=6
47,2026-05-31 16:45:18,iphone 17,light_physical_sanity,5.0,P5,unblocked,193.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=7
48,2026-05-31 16:45:22,iphone 17,light_physical_sanity,5.0,P5,unblocked,194.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=8
49,2026-05-31 16:45:25,iphone 17,light_physical_sanity,5.0,P5,unblocked,157.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=9
50,2026-05-31 16:45:28,iphone 17,light_physical_sanity,5.0,P5,unblocked,165.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=10
51,2026-05-31 16:46:11,iphone 17,light_physical_sanity,6.0,P6,unblocked,110.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=1
52,2026-05-31 16:46:12,iphone 17,light_physical_sanity,6.0,P6,unblocked,136.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=2
53,2026-05-31 16:46:14,iphone 17,light_physical_sanity,6.0,P6,unblocked,145.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=3
54,2026-05-31 16:46:15,iphone 17,light_physical_sanity,6.0,P6,unblocked,301.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=4
55,2026-05-31 16:46:17,iphone 17,light_physical_sanity,6.0,P6,unblocked,168.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=5
56,2026-05-31 16:46:22,iphone 17,light_physical_sanity,6.0,P6,unblocked,111.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=6
57,2026-05-31 16:46:24,iphone 17,light_physical_sanity,6.0,P6,unblocked,95.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=7
58,2026-05-31 16:46:28,iphone 17,light_physical_sanity,6.0,P6,unblocked,169.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=8
59,2026-05-31 16:46:30,iphone 17,light_physical_sanity,6.0,P6,unblocked,170.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=9
60,2026-05-31 16:46:33,iphone 17,light_physical_sanity,6.0,P6,unblocked,146.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=10
61,2026-05-31 16:46:39,iphone 17,light_physical_sanity,7.0,P7,unblocked,86.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=1
62,2026-05-31 16:46:44,iphone 17,light_physical_sanity,7.0,P7,unblocked,109.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=2
63,2026-05-31 16:46:46,iphone 17,light_physical_sanity,7.0,P7,unblocked,178.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=3
64,2026-05-31 16:46:48,iphone 17,light_physical_sanity,7.0,P7,unblocked,201.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=4
65,2026-05-31 16:46:50,iphone 17,light_physical_sanity,7.0,P7,unblocked,87.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=5
66,2026-05-31 16:46:51,iphone 17,light_physical_sanity,7.0,P7,unblocked,85.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=6
67,2026-05-31 16:46:53,iphone 17,light_physical_sanity,7.0,P7,unblocked,65.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=7
68,2026-05-31 16:46:55,iphone 17,light_physical_sanity,7.0,P7,unblocked,101.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=8
69,2026-05-31 16:46:59,iphone 17,light_physical_sanity,7.0,P7,unblocked,99.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=9
70,2026-05-31 16:47:03,iphone 17,light_physical_sanity,7.0,P7,unblocked,87.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=10
71,2026-05-31 16:47:09,iphone 17,light_physical_sanity,8.0,P8,unblocked,86.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=1
72,2026-05-31 16:47:10,iphone 17,light_physical_sanity,8.0,P8,unblocked,54.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=2
73,2026-05-31 16:47:11,iphone 17,light_physical_sanity,8.0,P8,unblocked,52.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=3
74,2026-05-31 16:47:12,iphone 17,light_physical_sanity,8.0,P8,unblocked,69.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=4
75,2026-05-31 16:47:13,iphone 17,light_physical_sanity,8.0,P8,unblocked,63.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=5
76,2026-05-31 16:47:15,iphone 17,light_physical_sanity,8.0,P8,unblocked,74.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=6
77,2026-05-31 16:47:18,iphone 17,light_physical_sanity,8.0,P8,unblocked,76.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=7
78,2026-05-31 16:47:31,iphone 17,light_physical_sanity,8.0,P8,unblocked,99.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=8
79,2026-05-31 16:47:33,iphone 17,light_physical_sanity,8.0,P8,unblocked,103.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=9
80,2026-05-31 16:47:37,iphone 17,light_physical_sanity,8.0,P8,unblocked,203.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=10
81,2026-05-31 16:47:41,iphone 17,light_physical_sanity,9.0,P9,unblocked,58.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=1
82,2026-05-31 16:47:44,iphone 17,light_physical_sanity,9.0,P9,unblocked,41.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=2
83,2026-05-31 16:47:46,iphone 17,light_physical_sanity,9.0,P9,unblocked,26.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=3
84,2026-05-31 16:47:48,iphone 17,light_physical_sanity,9.0,P9,unblocked,54.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=4
85,2026-05-31 16:47:49,iphone 17,light_physical_sanity,9.0,P9,unblocked,96.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=5
86,2026-05-31 16:47:51,iphone 17,light_physical_sanity,9.0,P9,unblocked,57.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=6
87,2026-05-31 16:47:52,iphone 17,light_physical_sanity,9.0,P9,unblocked,85.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=7
88,2026-05-31 16:47:54,iphone 17,light_physical_sanity,9.0,P9,unblocked,53.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=8
89,2026-05-31 16:47:56,iphone 17,light_physical_sanity,9.0,P9,unblocked,58.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=9
90,2026-05-31 16:48:02,iphone 17,light_physical_sanity,9.0,P9,unblocked,39.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=10
91,2026-05-31 16:48:06,iphone 17,light_physical_sanity,10.0,P10,unblocked,36.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=1
92,2026-05-31 16:48:08,iphone 17,light_physical_sanity,10.0,P10,unblocked,45.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=2
93,2026-05-31 16:48:09,iphone 17,light_physical_sanity,10.0,P10,unblocked,49.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=3
94,2026-05-31 16:48:10,iphone 17,light_physical_sanity,10.0,P10,unblocked,46.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=4
95,2026-05-31 16:48:12,iphone 17,light_physical_sanity,10.0,P10,unblocked,47.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=5
96,2026-05-31 16:48:13,iphone 17,light_physical_sanity,10.0,P10,unblocked,52.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=6
97,2026-05-31 16:48:16,iphone 17,light_physical_sanity,10.0,P10,unblocked,19.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=7
98,2026-05-31 16:48:18,iphone 17,light_physical_sanity,10.0,P10,unblocked,26.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=8
99,2026-05-31 16:48:20,iphone 17,light_physical_sanity,10.0,P10,unblocked,18.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=9
100,2026-05-31 16:48:23,iphone 17,light_physical_sanity,10.0,P10,unblocked,53.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=10
101,2026-05-31 16:52:33,iphone 17,light_physical_sanity,1.0,P1,blocked,15.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=1
102,2026-05-31 16:52:37,iphone 17,light_physical_sanity,1.0,P1,blocked,14.5,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=2
103,2026-05-31 16:52:40,iphone 17,light_physical_sanity,1.0,P1,blocked,14.39,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=3
104,2026-05-31 16:52:44,iphone 17,light_physical_sanity,1.0,P1,blocked,16.9,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=4
105,2026-05-31 16:52:48,iphone 17,light_physical_sanity,1.0,P1,blocked,15.3,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=5
106,2026-05-31 16:52:51,iphone 17,light_physical_sanity,1.0,P1,blocked,15.69,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=6
107,2026-05-31 16:52:55,iphone 17,light_physical_sanity,1.0,P1,blocked,14.32,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=7
108,2026-05-31 16:52:58,iphone 17,light_physical_sanity,1.0,P1,blocked,13.9,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=8
109,2026-05-31 16:53:05,iphone 17,light_physical_sanity,1.0,P1,blocked,12.7,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=9
110,2026-05-31 16:53:08,iphone 17,light_physical_sanity,1.0,P1,blocked,15.6,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=10
111,2026-05-31 16:53:17,iphone 17,light_physical_sanity,2.0,P2,blocked,15.78,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=1
112,2026-05-31 16:53:20,iphone 17,light_physical_sanity,2.0,P2,blocked,15.69,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=2
113,2026-05-31 16:53:24,iphone 17,light_physical_sanity,2.0,P2,blocked,12.67,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=3
114,2026-05-31 16:53:26,iphone 17,light_physical_sanity,2.0,P2,blocked,12.6,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=4
