sample_id,timestamp,device,scenario,distance_m,position_id,blockage,rssi_dbm,notes
1,2026-05-31 15:33:31,iphone 17,wifi_physical_sanity,1.0,P1,normal,-36.0,ssid=TP_Link_Router; rep=1
2,2026-05-31 15:33:40,iphone 17,wifi_physical_sanity,1.0,P1,normal,-36.0,ssid=TP_Link_Router; rep=2
3,2026-05-31 15:34:05,iphone 17,wifi_physical_sanity,1.0,P1,normal,-22.0,ssid=TP_Link_Router; rep=3
4,2026-05-31 15:34:08,iphone 17,wifi_physical_sanity,1.0,P1,normal,-25.0,ssid=TP_Link_Router; rep=4
5,2026-05-31 15:34:11,iphone 17,wifi_physical_sanity,1.0,P1,normal,-37.0,ssid=TP_Link_Router; rep=5
6,2026-05-31 15:34:13,iphone 17,wifi_physical_sanity,1.0,P1,normal,-25.0,ssid=TP_Link_Router; rep=6
7,2026-05-31 15:34:15,iphone 17,wifi_physical_sanity,1.0,P1,normal,-24.0,ssid=TP_Link_Router; rep=7
8,2026-05-31 15:34:17,iphone 17,wifi_physical_sanity,1.0,P1,normal,-32.0,ssid=TP_Link_Router; rep=8
9,2026-05-31 15:34:20,iphone 17,wifi_physical_sanity,1.0,P1,normal,-23.0,ssid=TP_Link_Router; rep=9
10,2026-05-31 15:34:24,iphone 17,wifi_physical_sanity,1.0,P1,normal,-31.0,ssid=TP_Link_Router; rep=10
11,2026-05-31 15:34:53,iphone 17,wifi_physical_sanity,2.0,P2,normal,-24.0,ssid=TP_Link_Router; rep=1
12,2026-05-31 15:34:59,iphone 17,wifi_physical_sanity,2.0,P2,normal,-24.0,ssid=TP_Link_Router; rep=2
13,2026-05-31 15:35:03,iphone 17,wifi_physical_sanity,2.0,P2,normal,-25.0,ssid=TP_Link_Router; rep=3
14,2026-05-31 15:35:05,iphone 17,wifi_physical_sanity,2.0,P2,normal,-26.0,ssid=TP_Link_Router; rep=4
15,2026-05-31 15:35:08,iphone 17,wifi_physical_sanity,2.0,P2,normal,-31.0,ssid=TP_Link_Router; rep=5
16,2026-05-31 15:35:10,iphone 17,wifi_physical_sanity,2.0,P2,normal,-25.0,ssid=TP_Link_Router; rep=6
17,2026-05-31 15:35:12,iphone 17,wifi_physical_sanity,2.0,P2,normal,-31.0,ssid=TP_Link_Router; rep=7
18,2026-05-31 15:35:16,iphone 17,wifi_physical_sanity,2.0,P2,normal,-25.0,ssid=TP_Link_Router; rep=8
19,2026-05-31 15:35:20,iphone 17,wifi_physical_sanity,2.0,P2,normal,-25.0,ssid=TP_Link_Router; rep=9
20,2026-05-31 15:35:22,iphone 17,wifi_physical_sanity,2.0,P2,normal,-31.0,ssid=TP_Link_Router; rep=10
21,2026-05-31 15:35:55,iphone 17,wifi_physical_sanity,3.0,P3,normal,-31.0,ssid=TP_Link_Router; rep=1
22,2026-05-31 15:35:57,iphone 17,wifi_physical_sanity,3.0,P3,normal,-27.0,ssid=TP_Link_Router; rep=2
23,2026-05-31 15:36:00,iphone 17,wifi_physical_sanity,3.0,P3,normal,-25.0,ssid=TP_Link_Router; rep=3
24,2026-05-31 15:36:04,iphone 17,wifi_physical_sanity,3.0,P3,normal,-34.0,ssid=TP_Link_Router; rep=4
25,2026-05-31 15:36:07,iphone 17,wifi_physical_sanity,3.0,P3,normal,-36.0,ssid=TP_Link_Router; rep=5
26,2026-05-31 15:36:10,iphone 17,wifi_physical_sanity,3.0,P3,normal,-26.0,ssid=TP_Link_Router; rep=6
27,2026-05-31 15:36:15,iphone 17,wifi_physical_sanity,3.0,P3,normal,-36.0,ssid=TP_Link_Router; rep=7
28,2026-05-31 15:36:18,iphone 17,wifi_physical_sanity,3.0,P3,normal,-36.0,ssid=TP_Link_Router; rep=8
29,2026-05-31 15:36:20,iphone 17,wifi_physical_sanity,3.0,P3,normal,-26.0,ssid=TP_Link_Router; rep=9
30,2026-05-31 15:36:22,iphone 17,wifi_physical_sanity,3.0,P3,normal,-35.0,ssid=TP_Link_Router; rep=10
31,2026-05-31 15:36:30,iphone 17,wifi_physical_sanity,4.0,P4,normal,-33.0,ssid=TP_Link_Router; rep=1
32,2026-05-31 15:36:37,iphone 17,wifi_physical_sanity,4.0,P4,normal,-33.0,ssid=TP_Link_Router; rep=2
33,2026-05-31 15:37:04,iphone 17,wifi_physical_sanity,4.0,P4,normal,-34.0,ssid=TP_Link_Router; rep=3
34,2026-05-31 15:37:08,iphone 17,wifi_physical_sanity,4.0,P4,normal,-38.0,ssid=TP_Link_Router; rep=4
35,2026-05-31 15:37:11,iphone 17,wifi_physical_sanity,4.0,P4,normal,-32.0,ssid=TP_Link_Router; rep=5
36,2026-05-31 15:37:14,iphone 17,wifi_physical_sanity,4.0,P4,normal,-31.0,ssid=TP_Link_Router; rep=6
37,2026-05-31 15:37:17,iphone 17,wifi_physical_sanity,4.0,P4,normal,-39.0,ssid=TP_Link_Router; rep=7
38,2026-05-31 15:37:22,iphone 17,wifi_physical_sanity,4.0,P4,normal,-30.0,ssid=TP_Link_Router; rep=8
39,2026-05-31 15:37:24,iphone 17,wifi_physical_sanity,4.0,P4,normal,-43.0,ssid=TP_Link_Router; rep=9
40,2026-05-31 15:37:29,iphone 17,wifi_physical_sanity,4.0,P4,normal,-38.0,ssid=TP_Link_Router; rep=10
41,2026-05-31 15:37:52,iphone 17,wifi_physical_sanity,5.0,P5,normal,-33.0,ssid=TP_Link_Router; rep=1
42,2026-05-31 15:37:55,iphone 17,wifi_physical_sanity,5.0,P5,normal,-37.0,ssid=TP_Link_Router; rep=2
43,2026-05-31 15:37:58,iphone 17,wifi_physical_sanity,5.0,P5,normal,-31.0,ssid=TP_Link_Router; rep=3
44,2026-05-31 15:38:00,iphone 17,wifi_physical_sanity,5.0,P5,normal,-34.0,ssid=TP_Link_Router; rep=4
45,2026-05-31 15:38:03,iphone 17,wifi_physical_sanity,5.0,P5,normal,-31.0,ssid=TP_Link_Router; rep=5
46,2026-05-31 15:38:05,iphone 17,wifi_physical_sanity,5.0,P5,normal,-35.0,ssid=TP_Link_Router; rep=6
47,2026-05-31 15:38:10,iphone 17,wifi_physical_sanity,5.0,P5,normal,-32.0,ssid=TP_Link_Router; rep=7
48,2026-05-31 15:38:13,iphone 17,wifi_physical_sanity,5.0,P5,normal,-33.0,ssid=TP_Link_Router; rep=8
49,2026-05-31 15:38:20,iphone 17,wifi_physical_sanity,5.0,P5,normal,-35.0,ssid=TP_Link_Router; rep=9
50,2026-05-31 15:38:31,iphone 17,wifi_physical_sanity,5.0,P5,normal,-41.0,ssid=TP_Link_Router; rep=10
51,2026-05-31 15:39:06,iphone 17,wifi_physical_sanity,6.0,P6,normal,-38.0,ssid=TP_Link_Router; rep=1
52,2026-05-31 15:39:09,iphone 17,wifi_physical_sanity,6.0,P6,normal,-32.0,ssid=TP_Link_Router; rep=2
53,2026-05-31 15:39:12,iphone 17,wifi_physical_sanity,6.0,P6,normal,-33.0,ssid=TP_Link_Router; rep=3
54,2026-05-31 15:39:17,iphone 17,wifi_physical_sanity,6.0,P6,normal,-36.0,ssid=TP_Link_Router; rep=4
55,2026-05-31 15:39:20,iphone 17,wifi_physical_sanity,6.0,P6,normal,-39.0,ssid=TP_Link_Router; rep=5
56,2026-05-31 15:39:23,iphone 17,wifi_physical_sanity,6.0,P6,normal,-44.0,ssid=TP_Link_Router; rep=6
57,2026-05-31 15:39:26,iphone 17,wifi_physical_sanity,6.0,P6,normal,-50.0,ssid=TP_Link_Router; rep=7
58,2026-05-31 15:39:29,iphone 17,wifi_physical_sanity,6.0,P6,normal,-35.0,ssid=TP_Link_Router; rep=8
59,2026-05-31 15:39:31,iphone 17,wifi_physical_sanity,6.0,P6,normal,-44.0,ssid=TP_Link_Router; rep=9
60,2026-05-31 15:39:35,iphone 17,wifi_physical_sanity,6.0,P6,normal,-32.0,ssid=TP_Link_Router; rep=10
61,2026-05-31 15:40:13,iphone 17,wifi_physical_sanity,7.0,P7,normal,-36.0,ssid=TP_Link_Router; rep=1
62,2026-05-31 15:40:15,iphone 17,wifi_physical_sanity,7.0,P7,normal,-44.0,ssid=TP_Link_Router; rep=2
63,2026-05-31 15:40:17,iphone 17,wifi_physical_sanity,7.0,P7,normal,-41.0,ssid=TP_Link_Router; rep=3
64,2026-05-31 15:40:20,iphone 17,wifi_physical_sanity,7.0,P7,normal,-40.0,ssid=TP_Link_Router; rep=4
65,2026-05-31 15:40:22,iphone 17,wifi_physical_sanity,7.0,P7,normal,-45.0,ssid=TP_Link_Router; rep=5
66,2026-05-31 15:40:24,iphone 17,wifi_physical_sanity,7.0,P7,normal,-44.0,ssid=TP_Link_Router; rep=6
67,2026-05-31 15:40:27,iphone 17,wifi_physical_sanity,7.0,P7,normal,-41.0,ssid=TP_Link_Router; rep=7
68,2026-05-31 15:40:30,iphone 17,wifi_physical_sanity,7.0,P7,normal,-47.0,ssid=TP_Link_Router; rep=8
69,2026-05-31 15:40:33,iphone 17,wifi_physical_sanity,7.0,P7,normal,-44.0,ssid=TP_Link_Router; rep=9
70,2026-05-31 15:40:35,iphone 17,wifi_physical_sanity,7.0,P7,normal,-45.0,ssid=TP_Link_Router; rep=10
