t,scenario,true_x,true_y,wifi_degraded,vlp_blocked,mixed_dynamic,wifi_ap1_dbm,wifi_ap1_clean_dbm,wifi_ap2_dbm,wifi_ap2_clean_dbm,wifi_ap3_dbm,wifi_ap3_clean_dbm,vlp_led1_intensity,vlp_led1_clean_intensity,vlp_led2_intensity,vlp_led2_clean_intensity,vlp_led3_intensity,vlp_led3_clean_intensity,vlp_led4_intensity,vlp_led4_clean_intensity,filter_name
0,s2_wifi_degraded,8.548260044884431,3.875368266732585,False,False,False,-58.75939344425526,-59.959944346774286,-47.9306493622511,-50.20773921264725,-60.37314569321734,-57.48354714968279,0.0172505776739762,0.0198425628553832,0.1264236061612197,0.1279165744444625,0.0147994362023345,0.0156513391126817,0.0465382298910252,0.0469193328784962,ema
1,s2_wifi_degraded,8.648647791547123,3.682160416153107,False,False,False,-59.70471072764964,-59.99291348200764,-49.23099262826564,-49.50794621759904,-59.467976117212835,-57.80911342468364,0.018107507779516138,0.0195947104082064,0.1304588839843238,0.137923279900414,0.014641366584409227,0.0149592533586368,0.045551689143394615,0.0433567063294556,ema
2,s2_wifi_degraded,8.904314502785434,3.314602216855924,False,False,False,-59.39822759394244,-60.14603234762871,-47.22229145060689,-48.02663730984291,-58.34396439071935,-58.45040552968664,0.018331319649867634,0.0187273851344202,0.1376257280073871,0.1527658943021444,0.014090676040291798,0.0135828021147358,0.043139786746700756,0.037354219871926,ema
3,s2_wifi_degraded,9.310389003930128,3.04167485894367,False,False,False,-59.983423066421516,-60.51164471724688,-47.63712895610709,-46.92886023214213,-58.65945228421948,-59.06349996168536,0.017199607819836114,0.0170861680003518,0.1414849811375422,0.1470111345577178,0.013014670228652159,0.0121911411580919,0.03968664528996672,0.0330010049129496,ema
4,s2_wifi_degraded,9.706838327803332,2.8964874698404373,False,False,False,-60.27241249574536,-60.89836836794159,-47.062748053952696,-46.7362919857692,-58.96967995846927,-59.51222929578458,0.016950423668658926,0.0155765552594776,0.13750517607620452,0.1295842558803099,0.01195027971336796,0.0111805301336858,0.035719966184560074,0.0303406000357808,ema
5,s2_wifi_degraded,9.41844096729231,2.900422758078939,False,False,False,-59.73522997079715,-60.59254891291667,-46.00461363279087,-46.36086926859,-57.93136908540268,-59.29172698279511,0.016449354187005057,0.0167101052736517,0.1407813901948678,0.1465687682455908,0.011432190934047204,0.0117593167353118,0.03326810431044906,0.0312327606639054,ema
6,s2_wifi_degraded,8.964378339140287,2.9597287260816096,False,False,False,-60.37727661002862,-60.1061677218614,-46.181828026860096,-46.42988921612744,-57.71693016927998,-58.894482852991615,0.016702136414616903,0.0187183035204174,0.15105399894515759,0.1709078939277183,0.011825830126148112,0.0128358335125296,0.03345869407451077,0.0329659170935366,ema
7,s2_wifi_degraded,8.774353844140126,3.131454780222936,False,False,False,-60.475713548385144,-59.94084711017453,-47.099782141314996,-47.28411719214658,-57.848578908385,-58.5614028428172,0.017805194107000155,0.0195419141121087,0.15803505517305463,0.1700734129955363,0.012196642111862627,0.0135879529908322,0.033724911741940096,0.0353327470229946,ema
8,s2_wifi_degraded,8.418152736801511,3.188810020474088,False,False,False,-58.50028071975273,-59.5453008590831,-47.48738649746589,-47.81076534517292,-57.927915710238125,-58.23326134976168,0.019225437814024096,0.0214564860942806,0.1661184518786885,0.1789510292066953,0.013282580323258315,0.0146326687477062,0.03436943220899392,0.0366000048776059,ema
9,s2_wifi_degraded,8.165062128503568,3.3554638975618585,False,False,False,-57.50729770498996,-59.30508669985674,-48.39639485049313,-48.751110391041394,-56.887704280000776,-57.84189158265693,0.020643145893619423,0.0228074755124968,0.16759257843505543,0.1705167099217293,0.013908840975715611,0.015728288987298,0.03580641430367712,0.0390640852799131,ema
10,s2_wifi_degraded,8.047852018915972,3.3896047138916883,True,False,False,-58.383603551858414,-59.177091973580445,-48.95046853411296,-49.02712553487754,-56.802295086908906,-57.71327174169599,0.02185719288978019,0.023525251778616,0.16767688399440062,0.168540526175513,0.014826227119415402,0.0161727878041048,0.03735418209208245,0.0395913624873968,ema
11,s2_wifi_degraded,7.628992597812742,3.5120336380508936,True,False,False,-57.6922988282831,-58.71286328745341,-50.3102336982548,-50.04610792589764,-57.90145764968271,-57.254010441784814,0.02398517258453807,0.0263353307126365,0.16367924314040005,0.155668863442831,0.01586135507126115,0.0179123513686221,0.03893752638300446,0.0411870290262508,ema
12,s2_wifi_degraded,7.264240580596287,3.551955010215912,True,False,False,-57.98306873810169,-58.26463459028402,-51.29282300259907,-50.76768291157554,-55.53329382527558,-56.95846697572944,0.02594931332297096,0.0293076422006105,0.15662604554186643,0.1438868324473545,0.01664556732914827,0.0194184812957183,0.04004960747155375,0.0411075252691507,ema
13,s2_wifi_degraded,6.807654944686304,3.3798711617406227,True,False,False,-55.53975747894988,-57.5495662865208,-49.42901565451261,-51.21948813964429,-55.344045796148734,-56.96470550486567,0.029027886055565985,0.0344618551405485,0.1496856573999112,0.1365051459010926,0.018153189394600686,0.0206359434197307,0.03901562521400672,0.0373590482155046,ema
14,s2_wifi_degraded,6.644376635151973,3.2678225998295574,True,False,False,-54.274030477882064,-57.25047808339986,-56.12434709042109,-51.31963986391708,-55.58252229153321,-57.06082542106459,0.03160216560164724,0.0367949961809411,0.14441335689559243,0.134316731456694,0.01906084007159669,0.0208490842623294,0.03851026961631915,0.0354217806775368,ema
15,s2_wifi_degraded,6.164360277507891,3.220123101722137,True,False,False,-53.38293990955049,-56.4964919435467,-58.43824370627441,-52.24226578401606,-57.55232450475978,-56.95225012921035,0.03633385536783565,0.0438008696922949,0.13396497835985438,0.1128888142401155,0.020387101845093493,0.0226300050139191,0.03676321203690332,0.0330941767718135,ema
16,s2_wifi_degraded,5.921670782647944,3.170353913208966,True,False,False,-54.99996773347013,-56.075374270201806,-56.26320371014224,-52.6706436725876,-58.07118004413852,-56.96207118069519,0.04034301094609832,0.0481945594865687,0.12266346819025897,0.1032079016213634,0.02176532048963214,0.023416471066215,0.034726600060294835,0.0316006350578766,ema
17,s2_wifi_degraded,5.679154300480839,2.9818995639648525,True,False,False,-55.931433395518035,-55.53196465389668,-51.49229794547089,-52.92295150823895,-57.68710245551371,-57.20856414604288,0.044209212295306305,0.0540531683988473,0.11372925188965594,0.0966141427338359,0.02223903756987028,0.0234096050672982,0.033147632194237706,0.0289287760323391,ema
18,s2_wifi_degraded,5.40719635144305,2.708371836226452,True,False,False,-53.84142801639207,-54.84032413575282,-56.443282740666845,-53.19331592277084,-60.42306699876204,-57.59275579278373,0.04977950540717472,0.0620702502768994,0.10505408541795186,0.0890914518201389,0.02208362511262857,0.0229303545782804,0.03062148297827825,0.0258238056210545,ema
19,s2_wifi_degraded,5.231798982702207,2.4839699101632213,True,False,False,-53.48572116135108,-54.33760150661524,-55.29437614458445,-53.36372088256689,-62.19608678423518,-57.91366948601427,0.05628648653372069,0.0681256847610332,0.09772606177528093,0.0840536468472837,0.02184857510201281,0.0222860531350074,0.027980710426466958,0.023758880723361,ema
20,s2_wifi_degraded,5.28923634607891,2.192766390499288,False,False,False,-52.0550050591975,-54.26819802164718,-54.80784164103072,-52.99790866373736,-61.365575423971535,-58.3339712807724,0.05997209463772331,0.0673118071614979,0.09484136183561162,0.0878317963790968,0.0206430101024955,0.0206002764253235,0.02607769040244854,0.0221866241374316,ema
21,s2_wifi_degraded,5.38054459804343,2.090291333531373,False,False,False,-52.9459416615671,-54.40075513961495,-54.76013327195938,-52.70508458961408,-59.85932807754034,-58.482582283908656,0.06194359806231754,0.0647826393593469,0.09442152575926666,0.0919988665966844,0.020471386269156223,0.0198598931006372,0.024706536922057883,0.021840640449302,ema
22,s2_wifi_degraded,5.395660287878729,1.904575277898607,False,False,False,-53.83453464292384,-54.344674480200766,-52.974222506028006,-52.541964829923096,-59.608545179660155,-58.73635642515739,0.06297443511128295,0.0643516600216744,0.09400871706448,0.0926638818880073,0.019956781046603082,0.0189808385523884,0.023162633046291438,0.0208608053281641,ema
23,s2_wifi_degraded,5.346981386445022,1.7399481748937806,False,False,False,-54.716655595276634,-54.17658534374489,-52.74620038902215,-52.57043600568262,-59.32797048280525,-58.951573555033896,0.06424478266668913,0.0654882649208553,0.09299294702217453,0.0900403268649755,0.01954409195598803,0.0183855524145337,0.022013991658859953,0.0199097068446547,ema
24,s2_wifi_degraded,5.356397214861652,1.3990305548570758,False,False,False,-55.080545972014804,-54.10071778912547,-52.574384023000036,-52.41063807421238,-59.43826065490664,-59.38960904080379,0.06437427525005249,0.0639935841039009,0.09044214655468008,0.0881072797371506,0.018711212528213957,0.0169957612919087,0.020203858349384957,0.0183279642687858,ema
25,s2_wifi_degraded,5.55511192506875,1.1971395250192285,False,False,False,-54.97648854979799,-54.49591879490744,-52.768218214585865,-51.83347194346426,-58.172461429414696,-59.65370208669648,0.061827992197249104,0.0578589668566822,0.09228598096384362,0.094143673764331,0.017511414917548578,0.0158937707556203,0.019582815636056662,0.0177757589758255,ema
26,s2_wifi_degraded,5.644488914276651,1.1264421585125568,False,False,False,-53.72080601596714,-54.6761738279641,-54.01004742917159,-51.57346944127559,-58.86523747841164,-59.7476642741709,0.05930277587227388,0.0554157761910583,0.0937399622088485,0.096978764520481,0.01804088672532605,0.0154971252658806,0.019000938777898418,0.0176074224828247,ema
27,s2_wifi_degraded,5.99191614365339,0.7779056103368667,False,False,False,-55.61926646098293,-55.37132706223659,-51.60416519766681,-50.54834981043536,-58.27327436319771,-60.19864133698158,0.05443333134732882,0.0466659310975887,0.09802548450606495,0.1049767870611394,0.016972507178085506,0.0138707717592953,0.01869769737964775,0.0166137661791899,ema
28,s2_wifi_degraded,6.3719359824611015,0.5133126785859624,False,False,False,-57.295225180930444,-56.10192985359161,-51.81531409601834,-49.39307840288909,-58.71443775890198,-60.55548120125789,0.048887103033689344,0.039488133604888,0.10347049096796575,0.112856223995988,0.015007348559778741,0.012631954775942,0.017029304504544127,0.0159486887318815,ema
29,s2_wifi_degraded,6.642725720701172,0.2610300095402053,False,False,False,-54.894289544533336,-56.61399388594802,-51.382262651787386,-48.640835131543554,-60.20584670015754,-60.878017007306326,0.043616781993034495,0.0349908269416826,0.10677905427165596,0.1127877626475612,0.013502935417650328,0.0117032214757728,0.01670073524883782,0.0152128621747619,ema
30,s2_wifi_degraded,6.746242668239441,0.1917048919949815,False,False,False,-56.68723110273849,-56.800049660320816,-49.56711418316329,-48.34200394295653,-60.62305041143459,-60.97178474138055,0.04009177274898618,0.0335607063768396,0.10926888101149526,0.1130986483917792,0.012482345338448515,0.0114290557645887,0.01605801450917405,0.0150282425896802,ema
31,s2_wifi_degraded,6.356442515941112,0.4369455288091974,False,False,False,-57.64911121961359,-56.08777911097681,-50.419899496040244,-49.50010133828143,-61.36999775440688,-60.6362255511594,0.0386854851018926,0.0393364249192835,0.1098361778125877,0.1093563011264137,0.012657097774996465,0.0124721894606645,0.016141606943647763,0.0156491892115395,ema
32,s2_wifi_degraded,6.090439232524188,0.6864641265250186,False,False,False,-56.47795277217665,-55.56670482528193,-49.280138640685486,-50.25935879093794,-61.43120833662174,-60.31677606862414,0.04003679576756799,0.0445294073336363,0.10872673483130205,0.1067031014725433,0.012331821970120182,0.0134735480408788,0.016249049195210016,0.0163574483803029,ema
33,s2_wifi_degraded,5.949226125977861,0.8518939098654703,False,False,False,-56.56061292522761,-55.28409668897152,-49.217658358487895,-50.66826623835486,-59.0944184658903,-60.10764487340553,0.04285287648228989,0.0478136386816341,0.10784610432437783,0.1049998726309066,0.013041701282508589,0.0141459107209313,0.01664680711681179,0.0168630952631738,ema
34,s2_wifi_degraded,5.8095047430555145,1.1091466717902831,False,False,False,-57.225598175052134,-55.00866758086399,-49.430958370371386,-51.09046590496179,-58.91643437814695,-59.78674146612841,0.04570579004966428,0.0517975134676808,0.10644272626179713,0.1042547497337041,0.013444775760571914,0.0151523907810277,0.01682519069640668,0.0177676292043891,ema
35,s2_wifi_degraded,5.579978519259318,1.272432489793561,True,False,False,-56.999990329971965,-54.55586903115223,-52.607071631099515,-51.77885214567872,-63.131668167072334,-59.56377635756127,0.04984034141659738,0.0576515059024555,0.10304379392481645,0.0962847707674492,0.014291150520849984,0.0161091787857652,0.017602043745183493,0.0181433316982931,ema
36,s2_wifi_degraded,5.338528190625762,1.3036592905789073,True,False,False,-54.71377727113554,-54.044878850150425,-53.069056011407085,-52.43317062233119,-59.98548735422412,-59.50748802984195,0.05482949570041386,0.0639768215017925,0.0966900457787772,0.0864429560514983,0.014993733375419042,0.0166703482085306,0.018037434261753527,0.0178812790431202,ema
37,s2_wifi_degraded,4.912072310282084,1.4157812756540196,True,False,False,-54.39938999137345,-53.0866113504606,-52.91547657069451,-53.50223637976572,-63.9921390833575,-59.35868074739484,0.06324284190991357,0.0779941364524013,0.08868686061885214,0.0720637156165697,0.01624651729631747,0.0179108429705183,0.018181359335188878,0.0175786364750591,ema
38,s2_wifi_degraded,4.826303961432351,1.586236364932186,True,False,False,-55.487256103784546,-52.931993109250016,-57.674940779250576,-53.74479019592107,-63.30306269855514,-59.14347374941581,0.07018471280059382,0.0822422904668704,0.08214828506124497,0.0702072319245962,0.016890587253903747,0.018823756873994,0.01868607804346347,0.0181130838001982,ema
39,s2_wifi_degraded,4.8018178978276085,1.8759997678234683,True,False,False,-54.26872949053655,-53.00693622288597,-58.52338872831238,-53.910946737782176,-62.32539193514178,-58.7636219918104,0.07450475543318363,0.0842775254214478,0.07782413538427188,0.0702062563533261,0.018242807121062906,0.0202619618899183,0.018984938595997137,0.0193304894256944,ema
40,s2_wifi_degraded,4.769561461430565,2.1910721381589235,True,False,False,-54.25860141472967,-53.13301276340091,-54.74978869781994,-54.14490690200745,-60.06217705078225,-58.33320078910094,0.07845893938469628,0.0854191314934522,0.07454309759976174,0.0690977956145019,0.019401995616164396,0.022019586443286,0.01947363928704762,0.0207557690005585,ema
41,s2_wifi_degraded,4.525918490013359,2.572296491893161,True,False,False,-54.78945937612275,-52.90640096251569,-55.98316527028617,-54.87178239231188,-58.2118896528617,-57.80314586620706,0.08379607203566722,0.09338997441536,0.06969369840153486,0.0609876376611516,0.021579585446111712,0.0251002569585674,0.020330756699357057,0.0219639227278171,ema
42,s2_wifi_degraded,4.603145206950584,2.691606464543516,True,False,False,-58.62372750403898,-53.19856979965566,-56.116975042673076,-54.80856223278322,-58.271900428047786,-57.617081936599824,0.08576207606951376,0.088851891196215,0.06734622179211697,0.0624338903656083,0.023203572788926433,0.0256703774825466,0.020868139126808315,0.0228740490472715,ema
43,s2_wifi_degraded,4.636858519470941,2.83301729155527,True,False,False,-56.72305467699542,-53.41735766417496,-61.01791533086136,-54.85207895851882,-58.494759578473364,-57.39813611133921,0.08575710754102484,0.0858594569350728,0.0653773519366439,0.0624818863992668,0.02408616600333338,0.0265599077638649,0.021079696042753338,0.023804745331424,ema
44,s2_wifi_degraded,4.734121569139968,3.1877348970907184,True,False,False,-53.29886649996081,-53.99787674975417,-58.1166128023829,-54.97566153280168,-58.56665409708148,-56.82558527943084,0.08274370987495586,0.0776027881602461,0.06446035828924142,0.0622019124538133,0.026155507523071678,0.0288739315326373,0.022750005481460046,0.0264383399835899,ema
