t,scenario,true_x,true_y,wifi_degraded,vlp_blocked,mixed_dynamic,wifi_ap1_dbm,wifi_ap1_clean_dbm,wifi_ap2_dbm,wifi_ap2_clean_dbm,wifi_ap3_dbm,wifi_ap3_clean_dbm,vlp_led1_intensity,vlp_led1_clean_intensity,vlp_led2_intensity,vlp_led2_clean_intensity,vlp_led3_intensity,vlp_led3_clean_intensity,vlp_led4_intensity,vlp_led4_clean_intensity,filter_name
0,s4_mixed_dynamic,8.548260044884431,3.875368266732585,False,False,True,-62.08654307100712,-59.959944346774286,-49.90906918828231,-50.20773921264725,-56.89761159678622,-57.48354714968279,0.0206559355942421,0.0198425628553832,0.1268771935947103,0.1279165744444625,0.0162211994882614,0.0156513391126817,0.0475968877183199,0.0469193328784962,moving_average
1,s4_mixed_dynamic,8.648647791547123,3.682160416153107,False,False,True,-59.55510713402538,-59.99291348200764,-49.08902405086964,-49.50794621759904,-57.19101467686252,-57.80911342468364,0.02017102231291925,0.0195947104082064,0.13238009823842825,0.137923279900414,0.014808047374104499,0.0149592533586368,0.0457622365686884,0.0433567063294556,moving_average
2,s4_mixed_dynamic,8.904314502785434,3.314602216855924,False,False,True,-60.67285461918609,-60.14603234762871,-49.46173640562722,-48.02663730984291,-56.92096504968077,-58.45040552968664,0.019507438995508036,0.0187273851344202,0.13909252301809502,0.1527658943021444,0.0150710102589408,0.0135828021147358,0.043186665201664094,0.037354219871926,moving_average
3,s4_mixed_dynamic,9.310389003930128,3.04167485894367,False,False,True,-59.86259709628511,-60.51164471724688,-49.005439124190154,-46.92886023214213,-57.55028321373023,-59.06349996168536,0.01907001600779385,0.0170861680003518,0.1407836594633182,0.1470111345577178,0.013972960215528026,0.0121911411580919,0.0404142392546909,0.0330010049129496,moving_average
4,s4_mixed_dynamic,9.706838327803332,2.8964874698404373,False,False,True,-59.31366095714186,-60.89836836794159,-47.8233275181807,-46.7362919857692,-57.63110767184664,-59.51222929578458,0.01844888392036046,0.0155765552594776,0.13837816602301695,0.1295842558803099,0.01350884071296656,0.0111805301336858,0.03834604105086912,0.0303406000357808,moving_average
5,s4_mixed_dynamic,9.41844096729231,2.900422758078939,False,False,True,-58.897057610476146,-60.59254891291667,-46.31373798505138,-46.36086926859,-58.53085236234083,-59.29172698279511,0.017219829284610362,0.0167101052736517,0.1426299107475022,0.1465687682455908,0.01296435710431148,0.0117593167353118,0.035176603216948536,0.0312327606639054,moving_average
6,s4_mixed_dynamic,8.964378339140287,2.9597287260816096,False,False,True,-59.79275627850454,-60.1061677218614,-45.82262429007221,-46.42988921612744,-59.11707966437841,-58.894482852991615,0.01687797054591422,0.0187183035204174,0.1494311608686329,0.1709078939277183,0.0129874776149354,0.0128358335125296,0.03257920183319698,0.0329659170935366,moving_average
7,s4_mixed_dynamic,8.774353844140126,3.131454780222936,False,False,True,-59.790798504138955,-59.94084711017453,-45.44656480580901,-47.28411719214658,-59.77138676301583,-58.5614028428172,0.017201096268111418,0.0195419141121087,0.15311642943578857,0.1700734129955363,0.01228632483051422,0.0135879529908322,0.03174315236859502,0.0353327470229946,moving_average
8,s4_mixed_dynamic,8.418152736801511,3.188810020474088,False,False,True,-59.90288531914522,-59.5453008590831,-46.02220301255277,-47.81076534517292,-59.53216182559371,-58.23326134976168,0.0180672462789192,0.0214564860942806,0.15972173554120536,0.1789510292066953,0.0127876923146998,0.0146326687477062,0.03261973790032292,0.0366000048776059,moving_average
9,s4_mixed_dynamic,8.165062128503568,3.3554638975618585,False,False,True,-60.91478646455481,-59.30508669985674,-46.65163359617769,-48.751110391041394,-60.00194608649989,-57.84189158265693,0.01945723096251986,0.0228074755124968,0.16795153545586805,0.1705167099217293,0.013452727340013678,0.015728288987298,0.03477336742618492,0.0390640852799131,moving_average
10,s4_mixed_dynamic,8.047852018915972,3.3896047138916883,True,False,True,-62.11439094655377,-59.177091973580445,-47.297088910232176,-49.02712553487754,-61.476314166946985,-57.71327174169599,0.020817309392753097,0.023525251778616,0.17215492672105853,0.168540526175513,0.013932992499203923,0.0161727878041048,0.036315968737641854,0.0395913624873968,moving_average
11,s4_mixed_dynamic,7.628992597812742,3.5120336380508936,True,False,True,-61.73682485066903,-58.71286328745341,-48.339520562281734,-50.04610792589764,-59.627162334764115,-57.254010441784814,0.02257106824455296,0.0263353307126365,0.16933789787507747,0.155668863442831,0.015034083466295738,0.0179123513686221,0.0382621670591497,0.0411870290262508,moving_average
12,s4_mixed_dynamic,7.264240580596287,3.551955010215912,True,False,True,-62.14737864465921,-58.26463459028402,-49.084707620305565,-50.76768291157554,-59.85976745899852,-56.95846697572944,0.02456059578830774,0.0293076422006105,0.16378860027141035,0.1438868324473545,0.016094051273691422,0.0194184812957183,0.03985199594295482,0.0411075252691507,moving_average
13,s4_mixed_dynamic,6.807654944686304,3.3798711617406227,True,False,True,-60.06076552729894,-57.5495662865208,-49.58537433757071,-51.21948813964429,-60.2904369990908,-56.96470550486567,0.026969068621463976,0.0344618551405485,0.15543442908105362,0.1365051459010926,0.01754432377899138,0.0206359434197307,0.04008976494415084,0.0373590482155046,moving_average
14,s4_mixed_dynamic,6.644376635151973,3.2678225998295574,True,False,True,-58.68325468168075,-57.25047808339986,-50.04431493950421,-51.31963986391708,-62.65906891726593,-57.06082542106459,0.029680004238869302,0.0367949961809411,0.14832801107400884,0.134316731456694,0.01857406546627786,0.0208490842623294,0.038969044006048004,0.0354217806775368,moving_average
15,s4_mixed_dynamic,6.164360277507891,3.220123101722137,True,False,True,-58.35711023531868,-56.4964919435467,-50.58871363923689,-52.24226578401606,-59.36006636010395,-56.95225012921035,0.03401127472428206,0.0438008696922949,0.13694344550690285,0.1128888142401155,0.02018346314384114,0.0226300050139191,0.03754236791508916,0.0330941767718135,moving_average
16,s4_mixed_dynamic,5.921670782647944,3.170353913208966,True,False,True,-56.7633726436143,-56.075374270201806,-51.262351287918385,-52.6706436725876,-60.3912219262394,-56.96207118069519,0.03835946046600522,0.0481945594865687,0.12599875806579322,0.1032079016213634,0.02070757405200744,0.023416471066215,0.03594667039243156,0.0316006350578766,moving_average
17,s4_mixed_dynamic,5.679154300480839,2.9818995639648525,True,False,True,-53.91810010874794,-55.53196465389668,-49.94527041693401,-52.92295150823895,-58.189579458820425,-57.20856414604288,0.04323816698317032,0.0540531683988473,0.11649910109587347,0.0966141427338359,0.02202784380604644,0.0234096050672982,0.03332227401635734,0.0289287760323391,moving_average
18,s4_mixed_dynamic,5.40719635144305,2.708371836226452,True,False,True,-55.522864514494145,-54.84032413575282,-50.58741027243612,-53.19331592277084,-56.363373143376826,-57.59275579278373,0.04877289263874964,0.0620702502768994,0.10661452468950769,0.0890914518201389,0.02263641924572976,0.0229303545782804,0.031168913568219898,0.0258238056210545,moving_average
19,s4_mixed_dynamic,5.231798982702207,2.4839699101632213,True,False,True,-56.28002588618226,-54.33760150661524,-51.589755467831274,-53.36372088256689,-54.85019469470245,-57.91366948601427,0.05469879244703517,0.0681256847610332,0.09651304898259304,0.0840536468472837,0.02259596128729502,0.0222860531350074,0.028760167696413718,0.023758880723361,moving_average
20,s4_mixed_dynamic,5.28923634607891,2.192766390499288,False,False,True,-55.06414436859975,-54.26819802164718,-52.60020011521103,-52.99790866373736,-56.28251617286851,-58.3339712807724,0.05956886101037791,0.0673118071614979,0.0918761319662848,0.0878317963790968,0.02179435705537432,0.0206002764253235,0.02712977321434328,0.0221866241374316,moving_average
21,s4_mixed_dynamic,5.38054459804343,2.090291333531373,False,False,True,-55.331909595254295,-54.40075513961495,-52.611411106697844,-52.70508458961408,-56.355556517381444,-58.482582283908656,0.06256007179712389,0.0647826393593469,0.08956655647280648,0.0919988665966844,0.0213347459414691,0.0198598931006372,0.0249775546217259,0.021840640449302,moving_average
22,s4_mixed_dynamic,5.395660287878729,1.904575277898607,False,False,True,-56.4688575393565,-54.344674480200766,-54.60435604711957,-52.541964829923096,-57.97232422859861,-58.73635642515739,0.06448612509112059,0.0643516600216744,0.08924583503040374,0.0926638818880073,0.020127460432463,0.0189808385523884,0.02329710085059374,0.0208608053281641,moving_average
23,s4_mixed_dynamic,5.346981386445022,1.7399481748937806,False,False,True,-55.51005878691727,-54.17658534374489,-54.05293718217415,-52.57043600568262,-59.97214691427622,-58.951573555033896,0.06537531481343414,0.0654882649208553,0.08995893152195374,0.0900403268649755,0.018949604734092962,0.0183855524145337,0.0214731075820686,0.0199097068446547,moving_average
24,s4_mixed_dynamic,5.356397214861652,1.3990305548570758,False,False,True,-54.81569469414247,-54.10071778912547,-54.16374727193174,-52.41063807421238,-59.15940989485905,-59.38960904080379,0.0651919860331096,0.0639935841039009,0.09045359002239511,0.0881072797371506,0.018147896846499263,0.0169957612919087,0.02061342306750486,0.0183279642687858,moving_average
