t,scenario,true_x,true_y,wifi_degraded,vlp_blocked,mixed_dynamic,wifi_ap1_dbm,wifi_ap1_clean_dbm,wifi_ap2_dbm,wifi_ap2_clean_dbm,wifi_ap3_dbm,wifi_ap3_clean_dbm,vlp_led1_intensity,vlp_led1_clean_intensity,vlp_led2_intensity,vlp_led2_clean_intensity,vlp_led3_intensity,vlp_led3_clean_intensity,vlp_led4_intensity,vlp_led4_clean_intensity,filter_name
0,s1_clean,2.2799291600344294,5.687548118721819,False,False,False,-53.90377325425254,-55.10432415677157,-57.81916829040615,-60.09625814080229,-56.79509125595624,-53.90549271242168,0.0568447214676788,0.0565726966147991,0.0170902462358624,0.0198739113439132,0.1069124811903663,0.1060918577239091,0.024910714963476,0.023771803550765,median
1,s1_clean,2.311993742915821,5.314965509108,False,False,False,-54.88154002444127,-54.39192030839843,-59.88811333615703,-59.819088762928615,-55.63636839209957,-54.49981204829351,0.06164329327319675,0.0662851451813608,0.019339016451274497,0.0211227093881312,0.09759985778941505,0.0884427419308305,0.024218332060816798,0.0229553522037625,median
2,s1_clean,2.4844149891244345,4.892233443738157,False,False,False,-53.90377325425254,-53.63311171151667,-57.81916829040615,-59.36484049456638,-54.477645528242896,-55.02076194548589,0.0664418650787147,0.0793671443295769,0.0215877866666866,0.0233717529007674,0.0882872343884638,0.0719793634306059,0.0235259491581576,0.0226860815160434,median
3,s1_clean,2.842745217514855,4.547438345307587,False,False,False,-53.85084815744935,-53.23935311972469,-59.01684311646227,-58.73583670833875,-54.9681223861411,-55.27674083357637,0.07295775106614416,0.0892884118736903,0.0230689608427258,0.0269638303567936,0.08029130981823185,0.0601308393628788,0.023254454436212497,0.0235197499228721,median
4,s1_clean,2.9864127708382706,4.543611784897228,False,False,False,-53.79792306064616,-53.39319773748884,-57.82456952982644,-58.56482085135826,-55.19874815301263,-55.16516038100693,0.0794736370535736,0.0873898915034845,0.024550135018765,0.0280851401341346,0.0722953852479999,0.0591029485163543,0.0235259491581576,0.0243411600138776,median
5,s1_clean,3.340887948111646,4.334249547684212,False,False,False,-53.303936519751154,-53.42031875011332,-57.82456952982644,-57.9839882012587,-54.477645528242896,-55.285091407625245,0.0879901900210037,0.0889149592271319,0.0275699429634457,0.0320964989582003,0.0595360283380563,0.0519866520559876,0.0235259491581576,0.0255460131464498,median
6,s1_clean,3.68623544692832,4.015886165396863,False,False,False,-53.303936519751154,-53.33741247360362,-57.373901972006166,-57.29285071514495,-54.092037464107335,-55.66783384918969,0.0882352222185047,0.0916826674638904,0.0284552712041952,0.0374919931379943,0.0582551337870343,0.0440207631280602,0.0250021452433934,0.0259863592577934,median
7,s1_clean,4.1188059230374,3.834922193216244,False,False,False,-53.79792306064616,-53.74487693519134,-57.82456952982644,-56.536129229010726,-55.19874815301263,-55.82475445136692,0.0882352222185047,0.0843435014302752,0.0330377986302347,0.0445819412576078,0.0515718447357547,0.0387038668312081,0.0253361703955599,0.0274638200837525,median
8,s1_clean,4.374208764323148,3.616554373320941,False,False,False,-53.303936519751154,-53.86908351635187,-57.373901972006166,-55.960239200729845,-55.19874815301263,-56.1474478638732,0.0879901900210037,0.0816318847319835,0.0372700105811509,0.0506082859728646,0.0450518426291161,0.034660287635534,0.0265853860570769,0.027502025928875,median
9,s1_clean,4.8310090365174965,3.516701129989274,False,False,False,-51.56537511880426,-54.54678089601196,-56.45855023859467,-55.12510740923521,-54.092037464107335,-56.26345757823553,0.0866487185835268,0.0698568204981629,0.0451915710407036,0.0611887029797929,0.0386938195119649,0.0311385037969989,0.0271949183963952,0.0292890329033658,median
