t,scenario,true_x,true_y,wifi_degraded,vlp_blocked,mixed_dynamic,wifi_ap1_dbm,wifi_ap1_clean_dbm,wifi_ap2_dbm,wifi_ap2_clean_dbm,wifi_ap3_dbm,wifi_ap3_clean_dbm,vlp_led1_intensity,vlp_led1_clean_intensity,vlp_led2_intensity,vlp_led2_clean_intensity,vlp_led3_intensity,vlp_led3_clean_intensity,vlp_led4_intensity,vlp_led4_clean_intensity,filter_name
0,s4_mixed_dynamic,2.2799291600344294,5.687548118721819,False,False,True,-54.4024551729401,-55.10432415677157,-60.839892981264455,-60.09625814080229,-56.15162241423237,-53.90549271242168,0.0568585406511461,0.0565726966147991,0.0204845285048821,0.0198739113439132,0.1079712224453969,0.1060918577239091,0.0239247676331401,0.023771803550765,ema
1,s4_mixed_dynamic,2.311993742915821,5.314965509108,False,False,True,-54.07660295603378,-54.39192030839843,-60.45445648369773,-59.819088762928615,-56.04862332639844,-54.49981204829351,0.0604026516529466,0.0662851451813608,0.02082886769742518,0.0211227093881312,0.10119006416588879,0.0884427419308305,0.022830669601751258,0.0229553522037625,ema
2,s4_mixed_dynamic,2.4844149891244345,4.892233443738157,False,False,True,-54.0497493431029,-53.63311171151667,-60.2627944821502,-59.36484049456638,-55.28997177419866,-55.02076194548589,0.06743008696109157,0.0793671443295769,0.021116361278457643,0.0233717529007674,0.0906383017841319,0.0719793634306059,0.022749243856024143,0.0226860815160434,ema
3,s4_mixed_dynamic,2.842745217514855,4.547438345307587,False,False,True,-53.078888737558515,-53.23935311972469,-60.54655551829292,-58.73583670833875,-55.23493643674731,-55.27674083357637,0.07449232565286348,0.0892884118736903,0.023145435246969603,0.0269638303567936,0.07998884813462384,0.0601308393628788,0.02244597315397723,0.0235197499228721,ema
4,s4_mixed_dynamic,2.9864127708382706,4.543611784897228,False,False,True,-53.025231544220446,-53.39319773748884,-61.158223434497614,-58.56482085135826,-55.32482994360721,-55.16516038100693,0.07896711217000887,0.0873898915034845,0.025603003686639897,0.0280851401341346,0.07252729241349594,0.0591029485163543,0.02251008455458215,0.0243411600138776,ema
5,s4_mixed_dynamic,3.340887948111646,4.334249547684212,False,False,True,-53.815294804512995,-53.42031875011332,-59.100856806211866,-57.9839882012587,-55.278712649610156,-55.285091407625245,0.08176593335061721,0.0889149592271319,0.0280100970657213,0.0320964989582003,0.06543297572022391,0.0519866520559876,0.02403024638837515,0.0255460131464498,ema
6,s4_mixed_dynamic,3.68623544692832,4.015886165396863,False,False,True,-54.267403147399925,-53.33741247360362,-59.13858417801792,-57.29285071514495,-55.99155166821305,-55.66783384918969,0.08459393684358144,0.0916826674638904,0.031087228340117817,0.0374919931379943,0.05800028366735892,0.0440207631280602,0.02468640441307332,0.0259863592577934,ema
7,s4_mixed_dynamic,4.1188059230374,3.834922193216244,False,False,True,-54.92121470290549,-53.74487693519134,-58.20072423872279,-56.536129229010726,-54.87270040884452,-55.82475445136692,0.08548319077172264,0.0843435014302752,0.03690983555494704,0.0445819412576078,0.05072744406494441,0.0387038668312081,0.025861352912926835,0.0274638200837525,ema
8,s4_mixed_dynamic,4.374208764323148,3.616554373320941,False,False,True,-55.3393329642832,-53.86908351635187,-57.24677518508539,-55.960239200729845,-55.46129541734874,-56.1474478638732,0.08354707138425957,0.0816318847319835,0.04204484090282051,0.0506082859728646,0.0450261736996061,0.034660287635534,0.026009026802332243,0.027502025928875,ema
9,s4_mixed_dynamic,4.8310090365174965,3.516701129989274,False,False,True,-53.64912639037023,-54.54678089601196,-56.6091454725353,-55.12510740923521,-55.89754180042294,-56.26345757823553,0.07873615916445537,0.0698568204981629,0.048937091252530165,0.0611887029797929,0.03978282714851842,0.0311385037969989,0.026877249527078317,0.0292890329033658,ema
