t,scenario,true_x,true_y,wifi_degraded,vlp_blocked,mixed_dynamic,wifi_ap1_dbm,wifi_ap1_clean_dbm,wifi_ap2_dbm,wifi_ap2_clean_dbm,wifi_ap3_dbm,wifi_ap3_clean_dbm,vlp_led1_intensity,vlp_led1_clean_intensity,vlp_led2_intensity,vlp_led2_clean_intensity,vlp_led3_intensity,vlp_led3_clean_intensity,vlp_led4_intensity,vlp_led4_clean_intensity,filter_name
0,s1_clean,3.50146586178358,2.794545781008381,False,False,False,-47.44773929450046,-50.74374564951288,-58.36204924198689,-56.76896745250902,-59.92071606165088,-57.711786684580666,0.145545143299885,0.1452284594455085,0.0393903926821641,0.0402121393165842,0.0297652230320648,0.0299839705452521,0.0193773067488472,0.0194804323174567,moving_average
1,s1_clean,3.8334314692961406,3.0879105600798664,False,False,False,-50.061391234010735,-52.02289916789879,-55.557260109375875,-56.41310856478282,-58.2801255995831,-57.16077336872055,0.130908332652635,0.1170272229073934,0.042038243502500044,0.0443580099880076,0.030975028805562452,0.0317560186425204,0.02118270906995445,0.0219833772317105,moving_average
2,s1_clean,4.0456173120900445,3.1263296245930507,False,False,False,-50.592918441836616,-52.53765294243689,-55.449172486332344,-56.09743280267562,-58.55212495203953,-57.04049986747118,0.1223993250040004,0.1057846359433306,0.0439023511286219,0.0478337050933053,0.030709128582626533,0.0313114358594498,0.022578941808524666,0.0230468883522227,moving_average
3,s1_clean,4.42592581634721,3.113695449768073,False,False,False,-51.54128394840254,-53.30604391803786,-56.04907393628898,-55.451263949690514,-58.10862783326875,-56.9817641599096,0.11447229813999332,0.0898841370182285,0.0472478462103292,0.0555113813712708,0.029954022606153374,0.0296198983090842,0.023380481625620474,0.0246002590573178,moving_average
4,s1_clean,4.708255729915193,3.19039433570727,False,False,False,-52.08387789124545,-53.95152239820385,-55.89134193902021,-55.02384576203725,-57.81629586008902,-56.82325850712798,0.10739852407587344,0.0784209916203668,0.05046502949151788,0.0615285449767332,0.030017690603748544,0.0290132963122578,0.02393039673260944,0.0263380472128565,moving_average
5,s1_clean,4.978762662726669,3.137730843885924,False,False,False,-53.36524293849342,-54.40603616402636,-55.10417742762602,-54.48495221791598,-56.723145977560556,-56.89750929437612,0.0926008217040323,0.0705842901771218,0.0560875820984291,0.0693370369382753,0.0295907648500967,0.0273862394904569,0.02557296959301298,0.0271964266632953,moving_average
6,s1_clean,5.202025987228208,3.1529819162085304,False,False,False,-53.56091593358624,-54.82971513987043,-55.427121858542876,-54.08133625261823,-56.38860294618612,-56.87825746557877,0.08241811842456073,0.0641752231174448,0.06245398910034781,0.0759992425521041,0.028431918191892343,0.0264924840748927,0.026495096701485497,0.028310772998649,moving_average
7,s1_clean,5.347337808465035,3.292281793156062,False,False,False,-53.94190700012007,-55.21286026726472,-55.367733816252226,-53.96374256378118,-55.852397049600924,-56.65983399330035,0.07335614889477016,0.0592604439873756,0.06892706345429156,0.0786992033114521,0.0276431198722083,0.0267613797432735,0.02731262314413106,0.0301211828644667,moving_average
8,s1_clean,5.716827179474,3.58088982297864,False,False,False,-54.14325357616663,-56.07143827456781,-54.81615518862683,-53.65707046693049,-55.34797102127659,-56.229281863113336,0.06499701887955696,0.0492270930072664,0.07500250231538406,0.0853818520044394,0.027476037727808246,0.0267785373708241,0.029198322528687898,0.0347930007477266,moving_average
9,s1_clean,5.862414412197704,3.68421178879823,False,False,False,-54.620163296874885,-56.38150748601265,-54.14836828958373,-53.54881025631016,-54.65408792236101,-56.08660248945857,0.05863076930574028,0.045966836568907,0.07965413817573053,0.0876743728609641,0.02646632967366938,0.0266352207872701,0.03163525588455718,0.036771059665785,moving_average
