t,scenario,true_x,true_y,wifi_degraded,vlp_blocked,mixed_dynamic,wifi_ap1_dbm,wifi_ap1_clean_dbm,wifi_ap2_dbm,wifi_ap2_clean_dbm,wifi_ap3_dbm,wifi_ap3_clean_dbm,vlp_led1_intensity,vlp_led1_clean_intensity,vlp_led2_intensity,vlp_led2_clean_intensity,vlp_led3_intensity,vlp_led3_clean_intensity,vlp_led4_intensity,vlp_led4_clean_intensity,filter_name
0,s2_wifi_degraded,3.50146586178358,2.794545781008381,False,False,False,-52.87034437374571,-50.74374564951288,-56.47029742814408,-56.76896745250902,-57.125851131684094,-57.711786684580666,0.1447192248097315,0.1452284594455085,0.0399808234416057,0.0402121393165842,0.0318586603702369,0.0299839705452521,0.0201145664408506,0.0194804323174567,moving_average
1,s2_wifi_degraded,3.8334314692961406,3.0879105600798664,False,False,False,-50.96200062834025,-52.02289916789879,-55.82221934439242,-56.41310856478282,-56.98096441632992,-57.16077336872055,0.1311857657388085,0.1170272229073934,0.041632333425471305,0.0443580099880076,0.03110352541173085,0.0317560186425204,0.0206282448087538,0.0219833772317105,moving_average
2,s2_wifi_degraded,4.0456173120900445,3.1263296245930507,False,False,False,-52.40799048033205,-52.53765294243689,-56.6407984322533,-56.09743280267562,-56.3109629885872,-57.04049986747118,0.12283903974623774,0.1057846359433306,0.04344254582385287,0.0478337050933053,0.03131921765726403,0.0313114358594498,0.021351511892576797,0.0230468883522227,moving_average
3,s2_wifi_degraded,4.42592581634721,3.113695449768073,False,False,False,-51.86254879234233,-53.30604391803786,-56.520336573546814,-55.451263949690514,-56.57234771746613,-56.9817641599096,0.1140885217352326,0.0898841370182285,0.04682441743384477,0.0555113813712708,0.0312991470035184,0.0296198983090842,0.022283985893332425,0.0246002590573178,moving_average
4,s2_wifi_degraded,4.708255729915193,3.19039433570727,False,False,False,-51.524253120040086,-53.95152239820385,-55.49275623291963,-55.02384576203725,-56.31096511710405,-56.82325850712798,0.10681698513334612,0.0784209916203668,0.04994792640445646,0.0615285449767332,0.03096756794843944,0.0290132963122578,0.02271777440258712,0.0263380472128565,moving_average
5,s2_wifi_degraded,4.978762662726669,3.137730843885924,False,False,False,-51.7135869630486,-54.40603616402636,-54.29573764168316,-54.48495221791598,-56.686218362934845,-56.89750929437612,0.09203727873549428,0.0705842901771218,0.0559811788962699,0.0693370369382753,0.02979445285576618,0.0273862394904569,0.02385910996831638,0.0271964266632953,moving_average
6,s2_wifi_degraded,5.202025987228208,3.1529819162085304,False,False,False,-53.14799797750057,-54.82971513987043,-53.953880884565386,-54.08133625261823,-56.99886859868248,-56.87825746557877,0.08145951305060178,0.0641752231174448,0.06251170642030836,0.0759992425521041,0.02875390359227486,0.0264924840748927,0.025270519961883897,0.028310772998649,moving_average
7,s2_wifi_degraded,5.347337808465035,3.292281793156062,False,False,False,-53.7221187155914,-55.21286026726472,-53.299587376062576,-53.96374256378118,-57.55484305985963,-56.65983399330035,0.07210236613078438,0.0592604439873756,0.06872511676050964,0.0786992033114521,0.027616304197519582,0.0267613797432735,0.02706599980940604,0.0301211828644667,moving_average
8,s2_wifi_degraded,5.716827179474,3.58088982297864,False,False,False,-54.580553173536394,-56.07143827456781,-53.34000586364817,-53.65707046693049,-57.331169385462985,-56.229281863113336,0.0639682107548166,0.0492270930072664,0.07452147128010847,0.0853818520044394,0.026673464237248562,0.0267785373708241,0.02898436836517272,0.0347930007477266,moving_average
9,s2_wifi_degraded,5.862414412197704,3.68421178879823,False,False,False,-56.397107670124726,-56.38150748601265,-53.27146566507323,-53.54881025631016,-57.98768998546082,-56.08660248945857,0.05769178515083534,0.045966836568907,0.07996543675744787,0.0876743728609641,0.026277697228272577,0.0266352207872701,0.03135204015744118,0.036771059665785,moving_average
10,s2_wifi_degraded,6.2621648807209205,3.865009897723677,True,False,False,-58.41976845561254,-57.10586074213443,-53.11790330327476,-53.15612010493874,-59.580669465717975,-55.9121110523273,0.051407790823120955,0.0389950030175768,0.08485829111168158,0.0952532194498698,0.02579535923854932,0.0254684977167461,0.034610008552926605,0.0414624398813814,moving_average
11,s2_wifi_degraded,6.386402797469953,4.000359969380765,True,False,False,-58.830833649286035,-57.37956715325362,-53.25986606307087,-53.19521050112114,-57.8300729720519,-55.73056174695599,0.04573509261651848,0.0367080654604905,0.08864288828862829,0.0942939351028783,0.0258263435087289,0.0254857261623858,0.03787710090378814,0.044246189448937,moving_average
12,s2_wifi_degraded,6.486403725025359,4.131792507959473,True,False,False,-60.056407772897025,-57.61174939547829,-53.1721673208779,-53.28287928212613,-58.16088401099965,-55.54792769977925,0.04077778809326762,0.034876797057595,0.091485202138069,0.0922891239011531,0.025595550810922362,0.0255814355985847,0.04089775370018346,0.0470499606782895,moving_average
13,s2_wifi_degraded,6.594101310260236,4.146666699824417,True,False,False,-58.70732298198425,-57.763345334242985,-52.89003732571632,-53.15180969926828,-58.71587113744471,-55.58231394998124,0.03792024443819764,0.0336542323064734,0.0930673550689603,0.0944757296723534,0.02554154830665964,0.0250288179487332,0.043424690386113116,0.0480198333865658,moving_average
14,s2_wifi_degraded,6.938536691705024,4.190811224101229,True,False,False,-58.11095423905575,-58.23260938300422,-52.67595597900536,-52.75222998596355,-61.16836127780131,-55.7248274387736,0.03473098473335002,0.0301306478676632,0.09525968923308045,0.1007418816065362,0.02433982496788932,0.023310532019866,0.04655484616471846,0.0509252520296641,moving_average
15,s2_wifi_degraded,7.095444556622987,4.3190830854397095,True,False,False,-58.60188128451773,-58.51061817122094,-52.510530762592225,-52.82214077334821,-57.963111449994436,-55.61985308661716,0.03252549639364964,0.0282951854353764,0.09578187968783473,0.0980741482814368,0.02432838653998724,0.0229817937100709,0.04897564747046546,0.0544443764361643,moving_average
16,s2_wifi_degraded,7.322508343984496,4.588300078241882,True,False,False,-57.85042721375421,-58.95349574070627,-52.65058206873969,-53.15181453514089,-58.97653511373943,-55.349962973914046,0.03032050113811986,0.0256223723129925,0.09447296517016113,0.089619448799258,0.023919251698517562,0.0227434042993789,0.0526928274900211,0.0621168504544279,moving_average
17,s2_wifi_degraded,7.446193242310456,4.675563891349093,True,False,False,-55.859233575111645,-59.14947394020993,-50.890391515210204,-53.22259946606399,-56.678625429126576,-55.31668878412345,0.027928058928145837,0.0244979974663827,0.09341353673626876,0.0872193625094305,0.022970793375410442,0.0223649122144171,0.056233982076389556,0.0651101971368206,moving_average
18,s2_wifi_degraded,7.634031718409139,4.77391982605946,True,False,False,-58.336875097773245,-59.41848876805201,-51.16291561907032,-53.27755872418487,-54.67805815906296,-55.33855946479915,0.025957846081897724,0.0230218770929533,0.09177517381377184,0.0845411160059088,0.02193046704661732,0.021668516182666,0.060896690786830895,0.0687685731924454,moving_average
19,s2_wifi_degraded,7.862727723450558,4.97492979510894,True,False,False,-59.98707725630898,-59.784936740457695,-51.91822429611496,-53.56112841286078,-52.9014620562437,-55.26058323299884,0.023863242712278597,0.0211766672668422,0.08710488235298149,0.0777058077412176,0.02171116055386254,0.0210426081634258,0.06571143422093195,0.0759307587331702,moving_average
20,s2_wifi_degraded,7.939266457295782,5.129541394281456,True,False,False,-61.11545966453631,-59.95720206576395,-53.13001017113212,-53.8550774617905,-54.394993328740654,-55.10602565835258,0.022155713369794085,0.0203795007912172,0.08242204103093295,0.0724757533906805,0.021024778769568743,0.0210462429773132,0.07109589847108272,0.0816778514482364,moving_average
21,s2_wifi_degraded,8.011102297567714,5.276303396065385,True,False,False,-60.20181930435177,-60.1182579530155,-53.522245543479826,-54.13238212543527,-55.83248126974769,-54.96499738904679,0.021154374768895402,0.0196589120664799,0.0785590235877531,0.0678689091741768,0.02043175209139598,0.0210296654036192,0.0755909559224146,0.0875760541553925,moving_average
22,s2_wifi_degraded,8.343062278059984,5.445902988798278,False,False,False,-61.44269362310221,-60.541274800996895,-54.8465644422249,-54.35830229948508,-56.93534701319728,-55.14388602792755,0.02041785408821532,0.0178225523156193,0.0733272660050544,0.0625315036261996,0.02013764944440516,0.0197013858558117,0.08157477774119466,0.0939752180480246,moving_average
