t,scenario,true_x,true_y,wifi_degraded,vlp_blocked,mixed_dynamic,wifi_ap1_dbm,wifi_ap1_clean_dbm,wifi_ap2_dbm,wifi_ap2_clean_dbm,wifi_ap3_dbm,wifi_ap3_clean_dbm,vlp_led1_intensity,vlp_led1_clean_intensity,vlp_led2_intensity,vlp_led2_clean_intensity,vlp_led3_intensity,vlp_led3_clean_intensity,vlp_led4_intensity,vlp_led4_clean_intensity,filter_name
0,s2_wifi_degraded,7.708518498956285,6.537185189018777,False,False,False,-59.96595370435352,-60.66782268818498,-57.34905292836257,-56.6054180879004,-54.64482764708609,-52.3986979452754,0.0181243164862613,0.0174907023691032,0.038866938705187,0.0405334018883394,0.0258879829887488,0.0258217710038364,0.1583945493431521,0.1606480249157306,median
1,s2_wifi_degraded,7.762228944549189,6.781375783910273,False,False,False,-59.96428292486313,-60.88308361484913,-57.123700704792334,-56.97879139879119,-54.0441370398882,-52.0859191748484,0.017791986678771,0.0166486758865302,0.0378335745304601,0.0371497390786257,0.02615037695753195,0.0258475893758314,0.16943301127697155,0.1804539481703795,median
2,s2_wifi_degraded,7.839130958677583,7.167874595498286,False,False,False,-59.96595370435352,-61.21327758263732,-57.34905292836257,-57.54928144000964,-53.4434464326903,-51.633217664900165,0.0174596568712807,0.015431532421671,0.0368002103557332,0.0325385185383974,0.0264127709263151,0.0257812471727974,0.180471473210791,0.2119402231286178,median
3,s2_wifi_degraded,7.94346543019908,7.5103051184045535,False,False,False,-59.96428292486313,-61.52818791243944,-57.72017231939815,-58.02341894955954,-52.35187365044905,-51.40431374887509,0.0158742066072872,0.0143496226223357,0.0352774915153398,0.0290979699255696,0.02615037695753195,0.02527513092303,0.1962603007053167,0.2356824538642564,median
4,s2_wifi_degraded,7.999186140694022,7.623886621271602,False,False,False,-59.96595370435352,-61.64634597445115,-58.09129171043374,-58.17231546192099,-51.73339730705149,-51.40678266028284,0.0170664927413503,0.0139629048746856,0.0337547726749464,0.0280677319573537,0.0262125193523272,0.0249179603413805,0.2120491281998424,0.2414606280215374,median
5,s2_wifi_degraded,8.226562675373907,7.955827377167044,False,False,False,-61.17873070784062,-62.02889796628993,-58.09129171043374,-58.59037627578381,-51.57606779120143,-51.66809295235392,0.0142887563432937,0.0127808655111213,0.0296160992086491,0.0253015883595867,0.0262125193523272,0.0233797625962509,0.2348875912929909,0.2461538461538462,median
6,s2_wifi_degraded,8.280648608306477,8.135508799595996,False,False,False,-61.58004421878047,-62.1838435969353,-60.36112254092159,-58.82365598915953,-51.57606779120143,-51.67182869554949,0.0142847792468483,0.0123318224330028,0.0276494264930913,0.0239674626137656,0.0248146053157267,0.0230070650039267,0.2415482007435521,0.244073512166406,median
7,s2_wifi_degraded,8.426531854440203,8.334139776009467,False,False,False,-63.89113436123292,-62.40919182942127,-60.36112254092159,-59.06680078400515,-51.57606779120143,-51.943881066322064,0.0126806273440454,0.0117066356837247,0.025264344053897,0.0225717043727283,0.0224859818590338,0.0220206301715448,0.2415482007435521,0.2329059378221316,median
8,s2_wifi_degraded,8.640813839766498,8.694587576233882,False,False,False,-63.95346405037876,-62.77402205256567,-59.02139249532696,-59.50647618201231,-51.73339730705149,-52.37986526323718,0.0111161709136477,0.010762187680812,0.0238872433551765,0.020313582729502,0.0223807856767999,0.0205833907819085,0.2415482007435521,0.2043696571382032,median
9,s2_wifi_degraded,8.773434572913224,8.991156753090223,False,False,False,-63.95346405037876,-63.03860093668056,-59.02139249532696,-59.8612508744272,-52.78681783250624,-52.68823637048264,0.0108953098583369,0.0101259989532826,0.0227090664580513,0.0187005112761519,0.02196505663589,0.0196611179731853,0.2319565080182905,0.1791924344235503,median
