t,scenario,true_x,true_y,wifi_degraded,vlp_blocked,mixed_dynamic,wifi_ap1_dbm,wifi_ap1_clean_dbm,wifi_ap2_dbm,wifi_ap2_clean_dbm,wifi_ap3_dbm,wifi_ap3_clean_dbm,vlp_led1_intensity,vlp_led1_clean_intensity,vlp_led2_intensity,vlp_led2_clean_intensity,vlp_led3_intensity,vlp_led3_clean_intensity,vlp_led4_intensity,vlp_led4_clean_intensity,filter_name
0,s3_vlp_blocked,7.708518498956285,6.537185189018777,False,False,False,-61.905840389992726,-60.66782268818498,-55.59833528716168,-56.6054180879004,-51.98453459790667,-52.3986979452754,0.0179286389653809,0.0174907023691032,0.0405851360221794,0.0405334018883394,0.0258503124801563,0.0258217710038364,0.1597256706626609,0.1606480249157306,ema
1,s3_vlp_blocked,7.762228944549189,6.781375783910273,False,False,False,-61.74030851432257,-60.88308361484913,-54.901873697897784,-56.97879139879119,-53.4691490002599,-52.0859191748484,0.017412599496158282,0.0166486758865302,0.03905438304908422,0.0371497390786257,0.025594641077487414,0.0258475893758314,0.1661515679560159,0.1804539481703795,ema
2,s3_vlp_blocked,7.839130958677583,7.167874595498286,False,False,False,-61.836497618856875,-61.21327758263732,-55.33820365207775,-57.54928144000964,-53.42358910418086,-51.633217664900165,0.01650281457911113,0.015431532421671,0.0372424471294845,0.0325385185383974,0.026027965605432107,0.0257812471727974,0.18131297229611174,0.2119402231286178,ema
3,s3_vlp_blocked,7.94346543019908,7.5103051184045535,False,False,False,-61.27375991223703,-61.52818791243944,-55.8125624315285,-58.02341894955954,-52.03496699668888,-51.40431374887509,0.016542754744218305,0.0143496226223357,0.034338098745655195,0.0290979699255696,0.026054805499354242,0.02527513092303,0.19994568519764358,0.2356824538642564,ema
4,s3_vlp_blocked,7.999186140694022,7.623886621271602,False,False,False,-61.871837946356976,-61.64634597445115,-55.99737733990752,-58.17231546192099,-51.83763726755167,-51.40678266028284,0.01601527483445167,0.0139629048746856,0.032469170688017406,0.0280677319573537,0.02568746608209305,0.0249179603413805,0.2148239735768966,0.2414606280215374,ema
5,s3_vlp_blocked,8.226562675373907,7.955827377167044,False,False,False,-61.812392137571535,-62.02889796628993,-56.70413157242215,-58.59037627578381,-53.392292004685075,-51.66809295235392,0.014535392244094463,0.0127808655111213,0.029563921467869413,0.0253015883595867,0.02458405344274062,0.0233797625962509,0.22583281419792708,0.2461538461538462,ema
6,s3_vlp_blocked,8.280648608306477,8.135508799595996,False,False,False,-62.30662960262757,-62.1838435969353,-57.138017868151685,-58.82365598915953,-51.96706158109848,-51.67182869554949,0.013732030982989347,0.0123318224330028,0.027457849781567227,0.0239674626137656,0.024571811932107723,0.0230070650039267,0.23309641370320544,0.244073512166406,ema
7,s3_vlp_blocked,8.426531854440203,8.334139776009467,False,False,False,-62.93269490108875,-62.40919182942127,-57.218402621054274,-59.06680078400515,-52.63353938153867,-51.943881066322064,0.013419275514674391,0.0117066356837247,0.025529551083855892,0.0225717043727283,0.02361137538364643,0.0220206301715448,0.23278219079540605,0.2329059378221316,ema
8,s3_vlp_blocked,8.640813839766498,8.694587576233882,False,False,False,-62.324327266281266,-62.77402205256567,-57.54200844013589,-59.50647618201231,-52.34493938770272,-52.37986526323718,0.012060805614132412,0.010762187680812,0.023189485178846864,0.020313582729502,0.023067570094635975,0.0205833907819085,0.2226647356384715,0.2043696571382032,ema
9,s3_vlp_blocked,8.773434572913224,8.991156753090223,False,False,False,-62.312610738557,-63.03860093668056,-58.23818045051062,-59.8612508744272,-53.74634624536928,-52.68823637048264,0.01157700310027264,0.0101259989532826,0.021730055777376384,0.0187005112761519,0.02211612720235999,0.0196611179731853,0.2065017372068983,0.1791924344235503,ema
