t,scenario,true_x,true_y,wifi_degraded,vlp_blocked,mixed_dynamic,wifi_ap1_dbm,wifi_ap1_clean_dbm,wifi_ap2_dbm,wifi_ap2_clean_dbm,wifi_ap3_dbm,wifi_ap3_clean_dbm,vlp_led1_intensity,vlp_led1_clean_intensity,vlp_led2_intensity,vlp_led2_clean_intensity,vlp_led3_intensity,vlp_led3_clean_intensity,vlp_led4_intensity,vlp_led4_clean_intensity,filter_name
0,s3_vlp_blocked,7.708518498956285,6.537185189018777,False,False,False,-61.905840389992726,-60.66782268818498,-55.59833528716168,-56.6054180879004,-51.98453459790667,-52.3986979452754,0.0179286389653809,0.0174907023691032,0.0405851360221794,0.0405334018883394,0.0258503124801563,0.0258217710038364,0.1597256706626609,0.1606480249157306,moving_average
1,s3_vlp_blocked,7.762228944549189,6.781375783910273,False,False,False,-61.66936628189249,-60.88308361484913,-54.60339015964182,-56.97879139879119,-54.10541231555413,-52.0859191748484,0.0171914397236343,0.0166486758865302,0.038398346060614846,0.0371497390786257,0.02548506761920075,0.0258475893758314,0.1689055239388823,0.1804539481703795,moving_average
2,s3_vlp_blocked,7.839130958677583,7.167874595498286,False,False,False,-61.78462236368757,-61.21327758263732,-55.11843700970805,-57.54928144000964,-53.849934166571266,-51.633217664900165,0.016398697822049765,0.015431532421671,0.03689137180000967,0.0325385185383974,0.0259342821319103,0.0257812471727974,0.18242697131611332,0.2119402231286178,moving_average
3,s3_vlp_blocked,7.94346543019908,7.5103051184045535,False,False,False,-61.39563567275144,-61.52818791243944,-55.51220636990816,-58.02341894955954,-52.75147496705081,-51.40431374887509,0.016453255700677374,0.0143496226223357,0.0349046060725003,0.0290979699255696,0.025976874353092275,0.02527513092303,0.19545755220506425,0.2356824538642564,moving_average
4,s3_vlp_blocked,7.999186140694022,7.623886621271602,False,False,False,-61.713019397288534,-61.64634597445115,-55.67788610130596,-58.17231546192099,-52.49541352775716,-51.40678266028284,0.01616973841809034,0.0139629048746856,0.03372334571705254,0.0280677319573537,0.0257825523439097,0.0249179603413805,0.204857057877439,0.2414606280215374,moving_average
5,s3_vlp_blocked,8.226562675373907,7.955827377167044,False,False,False,-61.672249874969694,-62.02889796628993,-56.16155407329204,-58.59037627578381,-53.354408197190956,-51.66809295235392,0.01494141839741466,0.0127808655111213,0.030440010238707,0.0253015883595867,0.02511946155609566,0.0233797625962509,0.2221674845294464,0.2461538461538462,moving_average
6,s3_vlp_blocked,8.280648608306477,8.135508799595996,False,False,False,-62.030571276328985,-62.1838435969353,-57.02862640748325,-58.82365598915953,-51.973191206581035,-51.67182869554949,0.01409858517208166,0.0123318224330028,0.027907013777441002,0.0239674626137656,0.02500531254406166,0.0230070650039267,0.23586760021474157,0.244073512166406,moving_average
7,s3_vlp_blocked,8.426531854440203,8.334139776009467,False,False,False,-62.44662189051964,-62.40919182942127,-57.27245798366124,-59.06680078400515,-52.07965240647401,-51.943881066322064,0.013703631154437701,0.0117066356837247,0.025521214107873818,0.0225717043727283,0.0240043118141823,0.0220206301715448,0.24041335379395362,0.2329059378221316,moving_average
8,s3_vlp_blocked,8.640813839766498,8.694587576233882,False,False,False,-62.63978710228734,-62.77402205256567,-57.56235322867418,-59.50647618201231,-52.550226526891876,-52.37986526323718,0.012287831875465121,0.010762187680812,0.02350108202950254,0.020313582729502,0.0231949108081494,0.0205833907819085,0.2342785300318317,0.2043696571382032,moving_average
9,s3_vlp_blocked,8.773434572913224,8.991156753090223,False,False,False,-62.50144653775665,-63.03860093668056,-58.20044648867893,-59.8612508744272,-53.52578476898252,-52.68823637048264,0.011416400561394719,0.0101259989532826,0.02150535854823648,0.0187005112761519,0.02226369031291158,0.0196611179731853,0.22108446194238232,0.1791924344235503,moving_average
