t,scenario,true_x,true_y,wifi_degraded,vlp_blocked,mixed_dynamic,wifi_ap1_dbm,wifi_ap1_clean_dbm,wifi_ap2_dbm,wifi_ap2_clean_dbm,wifi_ap3_dbm,wifi_ap3_clean_dbm,vlp_led1_intensity,vlp_led1_clean_intensity,vlp_led2_intensity,vlp_led2_clean_intensity,vlp_led3_intensity,vlp_led3_clean_intensity,vlp_led4_intensity,vlp_led4_clean_intensity,filter_name
0,s1_clean,6.1055626688123565,8.931678203850066,False,False,False,-60.74025558490796,-61.44212456873943,-61.12690179573848,-60.38326695527631,-43.22317336315968,-40.977043661348986,0.0140707923788914,0.0145129860825885,0.0180927471589709,0.0179736326912039,0.0461858749671787,0.0460327394628954,0.1190368433190708,0.1182464000600222,ema
1,s1_clean,6.320554771122484,9.075343533082185,False,False,False,-60.7469740696674,-61.67992272512559,-60.86410752255432,-60.456503932781374,-43.50545563272883,-42.67216687551535,0.01449667156493735,0.0137499230682287,0.018100369417144397,0.0175805560100523,0.044193006372495056,0.0419752596029546,0.12153633715423703,0.1253619828674846,ema
2,s1_clean,6.58026211240472,9.446929430621816,False,False,False,-61.355024271071095,-62.11749372324908,-61.01882458426946,-60.76414599988776,-43.53852177828665,-44.73964481683798,0.013822191752174704,0.0124323124360968,0.017067551178975446,0.0162674595189485,0.0418243175812731,0.036937980597392,0.12191085001324042,0.1233158074741897,ema
3,s1_clean,6.690486996140005,9.773722821152626,False,False,False,-61.043146853654726,-62.42743715663006,-61.85496664919722,-61.07009832127243,-44.323333787146495,-45.92485468426778,0.013061558067692353,0.011569864630437,0.016042501779487753,0.0151181656674886,0.03947346365163501,0.0343091296896642,0.11836715194229004,0.112855137367999,ema
4,s1_clean,6.648930003357536,9.453988556211296,False,False,False,-61.269966124545036,-62.15881717995184,-62.773937347338766,-60.75123993065357,-44.71910999860697,-45.12750831597919,0.0129045768799107,0.0123191403032493,0.01657221378444116,0.0162900049551658,0.03865750836868126,0.0360664060323944,0.12116074656699917,0.1259529464938366,ema
5,s1_clean,6.503414861243288,9.34880509424309,False,False,False,-62.17709554145545,-61.9995280636318,-61.09638732279595,-60.68489241050824,-44.48638317072023,-44.14620136579734,0.01294746464403711,0.0127737279405012,0.016468956684421887,0.0165989695976165,0.03844805836785159,0.0383141460126734,0.12265952931142518,0.1240842233807042,ema
6,s1_clean,6.309679632446698,9.224501326679391,False,False,False,-62.663349318726475,-61.79677159450063,-61.59949521858433,-60.61803987167855,-44.44338941296482,-42.71598215213321,0.014345522228898143,0.0133749279408596,0.01652938967164724,0.0169346282673481,0.0390398470291295,0.0415407600270036,0.12106495912059066,0.1196660869483835,ema
7,s1_clean,6.06460409098813,9.084291660062746,False,False,False,-63.11029213498975,-61.54976956582568,-61.208587775697694,-60.55976168788711,-42.04752862446322,-40.62799354145278,0.014321455165158634,0.0141426323166434,0.01673886915602065,0.0172613353039371,0.04133703861641842,0.046089969383375,0.11791477599006181,0.1120894561722057,ema
8,s1_clean,5.726062604387588,9.046898224684307,False,False,False,-63.276898169158606,-61.33955458498227,-60.845261419184595,-60.6555961580599,-40.40978887714127,-36.96131963427428,0.014301765143801392,0.0148055329255345,0.017270858237570783,0.0169982556430889,0.04555997227701494,0.0526883203176617,0.11084631740535786,0.0974014541497558,ema
9,s1_clean,5.334545965818324,9.091415993613808,False,False,False,-61.13079920019629,-61.18179640074638,-60.95825953469192,-60.86824458064132,-36.88056769011585,-29.882043694886303,0.015389300931605666,0.0152887951910882,0.01635986374808851,0.0162885481107208,0.04987171233638842,0.0613106287170141,0.1008279371827809,0.0813283583316389,ema
10,s1_clean,4.945823765007514,9.252578001847564,False,False,False,-61.022759270453946,-61.14852831634002,-60.63789374277037,-61.197763146841794,-33.945757004074046,-27.06758330658122,0.015531435912021744,0.0153191518579875,0.016374362259663117,0.0151680897029618,0.05690816379603274,0.0701910564503867,0.0895194645840946,0.0671278613655222,ema
11,s1_clean,4.721675127324938,9.340170350002357,False,False,False,-61.771468152185264,-61.13335965459703,-61.16576135967564,-61.38183940139169,-32.87543064497908,-32.14559866048399,0.015864639706366514,0.0153173096494851,0.015925174536278047,0.0145718396986886,0.06382437869255975,0.075737080467483,0.07863437878982812,0.0604468087704798,ema
12,s1_clean,4.340963373281298,9.42272693147179,False,False,False,-61.47015526819134,-61.05802872544017,-60.65910980068032,-61.6352455840884,-33.80037858924563,-37.66227823422284,0.0151931985062961,0.0154853932244378,0.015278241996865432,0.0137958770599094,0.07138226438524997,0.0869243110922649,0.06892770532389263,0.0515126670010798,ema
13,s1_clean,4.095436566930193,9.473710426329454,False,False,False,-61.00135806430737,-61.0160171565945,-62.134060169512026,-61.797937458386855,-36.179801881492004,-40.19946250019202,0.015305613833379845,0.0155648801778571,0.014292854433592827,0.0133152311630341,0.07957459980713862,0.0946729712938106,0.06137773671069856,0.0466909253525556,ema
14,s1_clean,3.863209848904428,9.531730849012984,False,False,False,-60.683070543272514,-60.99265112400902,-62.097639273024754,-61.96052277485562,-37.94115756347542,-42.17017574869181,0.01535466743169257,0.0155766829492791,0.014128492090260883,0.012846864979284,0.08736160757069364,0.1018563281700101,0.054929066238115956,0.0426271411481142,ema
15,s1_clean,3.520682956293645,9.491058893166894,False,False,False,-61.46138867237316,-60.84063956967558,-61.3739876244416,-62.10026547911754,-40.215149606806804,-44.24072084455306,0.015821046765921606,0.0160183403603997,0.013295898274816625,0.0124719001045683,0.0976071941537992,0.1171545510634116,0.049163997636339926,0.038040839258997,ema
16,s1_clean,3.165382501834026,9.461587695941777,False,False,False,-61.68055064686064,-60.706977676305954,-62.659310171907705,-62.262167835829736,-42.03677093756054,-46.09122459831619,0.015499219308393314,0.0163844694883258,0.012451920339712116,0.0120411106688506,0.11080857464650828,0.1334337650407432,0.04364674117657186,0.0338870879457333,ema
17,s1_clean,2.930245477093876,9.456164822050765,False,False,False,-60.600698585376435,-60.64046494663124,-61.58913171417575,-62.38305826115771,-44.24513283170974,-47.17680545661582,0.015925610430735846,0.0165399293200767,0.012364186190044788,0.0117237685822438,0.12157092120385896,0.1431480885530449,0.03935955625111515,0.0314239838836712,ema
18,s1_clean,2.7420797060020465,9.472996628406442,False,False,False,-60.51106583870832,-60.61461061409754,-63.32550774480271,-62.496539802350334,-45.697566037935765,-47.9867606155627,0.016473764455878784,0.0165572889678728,0.012179147750232308,0.0114296942260585,0.1312335085552875,0.1488006365728884,0.036040413155157706,0.0295722857821621,ema
19,s1_clean,2.4198638446847416,9.489528341112424,False,False,False,-60.147841728044625,-60.567233340177445,-63.556610310242846,-62.68303354884898,-47.162263858543945,-49.225082791748974,0.016544092282821346,0.0165921897413916,0.011353536376821741,0.0109611919314689,0.14018334815645006,0.156372646803936,0.03358630336612821,0.0267690212740257,ema
20,s1_clean,2.0874415206005943,9.43132427410417,False,False,False,-61.56709490594273,-60.44852261003956,-63.48156343281404,-62.82582277049424,-48.87512697979248,-50.31767971157574,0.01711646876976184,0.0168827015177178,0.011203394712289427,0.0106176354748726,0.1485303907058837,0.1651163562525637,0.030731542084149625,0.0243860584518782,ema
21,s1_clean,1.6827551012106006,9.608276410412028,False,False,False,-61.45547520560082,-60.59811442864771,-63.207122240751346,-63.16602300910708,-49.86327478617738,-51.61509330663682,0.017090188292364212,0.016132541277551,0.01040327007164367,0.0098238144993806,0.1486463675090588,0.1495394781163686,0.027972917273243844,0.0215080886187943,ema
22,s1_clean,1.5666621834216723,9.721824928735591,False,False,False,-61.705559821780284,-60.7134851670246,-63.573565291141705,-63.30181208916853,-51.21118779910843,-51.99238830932219,0.017198156571033123,0.0156704536460261,0.009945159365267036,0.0095225021575177,0.1449590781496844,0.1398119829719922,0.025908860112300883,0.0206814468285024,ema
23,s1_clean,1.8135872918506848,9.442076930062784,False,False,False,-60.69073877985082,-60.426049660416,-63.17317378634063,-62.98558341164777,-51.66110217686361,-51.163724362900766,0.017048467487345405,0.0168295603371906,0.009815985340228504,0.0102400040654855,0.1514150203998043,0.1635500682870529,0.024415746002119945,0.0225472594724184,ema
