t,scenario,true_x,true_y,wifi_degraded,vlp_blocked,mixed_dynamic,wifi_ap1_dbm,wifi_ap1_clean_dbm,wifi_ap2_dbm,wifi_ap2_clean_dbm,wifi_ap3_dbm,wifi_ap3_clean_dbm,vlp_led1_intensity,vlp_led1_clean_intensity,vlp_led2_intensity,vlp_led2_clean_intensity,vlp_led3_intensity,vlp_led3_clean_intensity,vlp_led4_intensity,vlp_led4_clean_intensity,filter_name
0,s3_vlp_blocked,6.1055626688123565,8.931678203850066,False,False,False,-58.95187369438721,-61.44212456873943,-60.55673661974743,-60.38326695527631,-42.48579361808388,-40.977043661348986,0.0150424517787605,0.0145129860825885,0.0171431448966133,0.0179736326912039,0.0464753275679909,0.0460327394628954,0.1189218753209891,0.1182464000600222,median
1,s3_vlp_blocked,6.320554771122484,9.075343533082185,False,False,False,-60.9425418694653,-61.67992272512559,-61.5244883647513,-60.456503932781374,-43.00566995760015,-42.67216687551535,0.0143438471408135,0.0137499230682287,0.0167200735559397,0.0175805560100523,0.043921584733839905,0.0419752596029546,0.12254729483299265,0.1253619828674846,median
2,s3_vlp_blocked,6.58026211240472,9.446929430621816,False,False,False,-62.93321004454339,-62.11749372324908,-60.55673661974743,-60.76414599988776,-43.52554629711642,-44.73964481683798,0.0136452425028665,0.0124323124360968,0.0162970022152661,0.0162674595189485,0.0413678418996889,0.036937980597392,0.1225809700689758,0.1233158074741897,median
3,s3_vlp_blocked,6.690486996140005,9.773722821152626,False,False,False,-63.199041166898354,-62.42743715663006,-61.209445949208366,-61.07009832127243,-44.775864938146114,-45.92485468426778,0.01350153723602235,0.011569864630437,0.01606836492051115,0.0151181656674886,0.03926315910009325,0.0343091296896642,0.12075142269498246,0.112855137367999,median
4,s3_vlp_blocked,6.648930003357536,9.453988556211296,False,False,False,-63.46487228925332,-62.15881717995184,-61.8621552786693,-60.75123993065357,-44.02369851449199,-45.12750831597919,0.0136452425028665,0.0123191403032493,0.0158397276257562,0.0162900049551658,0.0371584763004976,0.0360664060323944,0.1225809700689758,0.1259529464938366,median
5,s3_vlp_blocked,6.503414861243288,9.34880509424309,False,False,False,-63.46487228925332,-61.9995280636318,-61.8621552786693,-60.68489241050824,-44.02369851449199,-44.14620136579734,0.0133578319691782,0.0127737279405012,0.0151742662858508,0.0165989695976165,0.0371584763004976,0.0383141460126734,0.1243999125843181,0.1240842233807042,median
6,s3_vlp_blocked,6.309679632446698,9.224501326679391,False,False,False,-63.46487228925332,-61.79677159450063,-61.8621552786693,-60.61803987167855,-44.02369851449199,-42.71598215213321,0.0129255934373411,0.0133749279408596,0.0151742662858508,0.0169346282673481,0.0371584763004976,0.0415407600270036,0.1225809700689758,0.1196660869483835,median
7,s3_vlp_blocked,6.06460409098813,9.084291660062746,False,False,False,-63.46487228925332,-61.54976956582568,-61.8621552786693,-60.55976168788711,-43.99940403398272,-40.62799354145278,0.0126004506904292,0.0141426323166434,0.0151742662858508,0.0172613353039371,0.0377210932260594,0.046089969383375,0.1194015896541629,0.1120894561722057,median
8,s3_vlp_blocked,5.726062604387588,9.046898224684307,False,False,False,-62.2714162251435,-61.33955458498227,-62.44430976911225,-60.6555961580599,-40.25928420732078,-36.96131963427428,0.0129255934373411,0.0148055329255345,0.017356457784964,0.0169982556430889,0.0416866921683601,0.0526883203176617,0.1194015896541629,0.0974014541497558,median
9,s3_vlp_blocked,5.334545965818324,9.091415993613808,False,False,False,-62.22167480509767,-61.18179640074638,-61.30220230890722,-60.86824458064132,-39.37374648422129,-29.882043694886303,0.0129255934373411,0.0152887951910882,0.017356457784964,0.0162885481107208,0.0473372219425607,0.0613106287170141,0.1122312168486504,0.0813283583316389,median
10,s3_vlp_blocked,4.945823765007514,9.252578001847564,False,False,False,-62.2714162251435,-61.14852831634002,-62.44430976911225,-61.197763146841794,-37.6103089401863,-27.06758330658122,0.0137032676798187,0.0153191518579875,0.017356457784964,0.0151680897029618,0.0529116727229561,0.0701910564503867,0.0969160503127525,0.0671278613655222,median
11,s3_vlp_blocked,4.721675127324938,9.340170350002357,False,False,False,-62.22167480509767,-61.13335965459703,-63.309190633848345,-61.38183940139169,-34.36996663677115,-32.14559866048399,0.0142461412748327,0.0153173096494851,0.0167574314401988,0.0145718396986886,0.0610420265410332,0.075737080467483,0.0803460758488639,0.0604468087704798,median
12,s3_vlp_blocked,4.340963373281298,9.42272693147179,False,False,False,-60.97369058559936,-61.05802872544017,-63.309190633848345,-61.6352455840884,-34.36996663677115,-37.66227823422284,0.0147983380547559,0.0154853932244378,0.0156120477573516,0.0137958770599094,0.0685144653307995,0.0869243110922649,0.0673293205722117,0.0515126670010798,median
13,s3_vlp_blocked,4.095436566930193,9.473710426329454,False,False,False,-60.97369058559936,-61.0160171565945,-62.3178931114056,-61.797937458386855,-34.36996663677115,-40.19946250019202,0.0149408490143852,0.0155648801778571,0.0144569136080729,0.0133152311630341,0.0751212568378734,0.0946729712938106,0.0596823016389837,0.0466909253525556,median
