t,scenario,true_x,true_y,wifi_degraded,vlp_blocked,mixed_dynamic,wifi_ap1_dbm,wifi_ap1_clean_dbm,wifi_ap2_dbm,wifi_ap2_clean_dbm,wifi_ap3_dbm,wifi_ap3_clean_dbm,vlp_led1_intensity,vlp_led1_clean_intensity,vlp_led2_intensity,vlp_led2_clean_intensity,vlp_led3_intensity,vlp_led3_clean_intensity,vlp_led4_intensity,vlp_led4_clean_intensity,filter_name
0,s4_mixed_dynamic,6.1055626688123565,8.931678203850066,False,False,True,-58.84707648746522,-61.44212456873943,-64.00707492114844,-60.38326695527631,-39.14888253799368,-40.977043661348986,0.0156062596231667,0.0145129860825885,0.0189810381836841,0.0179736326912039,0.0482574566904869,0.0460327394628954,0.1205284877820286,0.1182464000600222,median
1,s4_mixed_dynamic,6.320554771122484,9.075343533082185,False,False,True,-60.74748869498082,-61.67992272512559,-61.58505551841739,-60.456503932781374,-40.805626002232856,-42.67216687551535,0.014650623563543349,0.0137499230682287,0.0185129727082584,0.0175805560100523,0.04517767923204215,0.0419752596029546,0.12320087415416345,0.1253619828674846,median
2,s4_mixed_dynamic,6.58026211240472,9.446929430621816,False,False,True,-61.82144176431628,-62.11749372324908,-59.16303611568633,-60.76414599988776,-42.46236946647204,-44.73964481683798,0.01369498750392,0.0124323124360968,0.0180449072328327,0.0162674595189485,0.0420979017735974,0.036937980597392,0.1251730858869053,0.1233158074741897,median
3,s4_mixed_dynamic,6.690486996140005,9.773722821152626,False,False,True,-62.234671333406354,-62.42743715663006,-60.168217839082104,-61.07009832127243,-44.15910571178266,-45.92485468426778,0.0131622504525585,0.011569864630437,0.01789885971374395,0.0151181656674886,0.039695608165798,0.0343091296896642,0.12285078683446694,0.112855137367999,median
4,s4_mixed_dynamic,6.648930003357536,9.453988556211296,False,False,True,-61.82144176431628,-62.15881717995184,-60.9475649603588,-60.75123993065357,-45.73624043546674,-45.12750831597919,0.012629513401197,0.0123191403032493,0.0177528121946552,0.0162900049551658,0.0372933145579986,0.0360664060323944,0.1250778235283031,0.1259529464938366,median
5,s4_mixed_dynamic,6.503414861243288,9.34880509424309,False,False,True,-62.54435498457494,-61.9995280636318,-60.9475649603588,-60.68489241050824,-45.85584195709327,-44.14620136579734,0.012629513401197,0.0127737279405012,0.0173976339751122,0.0165989695976165,0.0372933145579986,0.0383141460126734,0.1250778235283031,0.1240842233807042,median
6,s4_mixed_dynamic,6.309679632446698,9.224501326679391,False,False,True,-62.54435498457494,-61.79677159450063,-60.9475649603588,-60.61803987167855,-45.85584195709327,-42.71598215213321,0.012629513401197,0.0133749279408596,0.0169168864021341,0.0169346282673481,0.0372933145579986,0.0415407600270036,0.1247147633472223,0.1196660869483835,median
7,s4_mixed_dynamic,6.06460409098813,9.084291660062746,False,False,True,-62.54435498457494,-61.54976956582568,-60.9475649603588,-60.55976168788711,-45.73624043546674,-40.62799354145278,0.0134603237219888,0.0141426323166434,0.0169168864021341,0.0172613353039371,0.0388797589492381,0.046089969383375,0.1191089310079551,0.1120894561722057,median
8,s4_mixed_dynamic,5.726062604387588,9.046898224684307,False,False,True,-62.54435498457494,-61.33955458498227,-60.86065602796154,-60.6555961580599,-40.30400613745371,-36.96131963427428,0.014155958427089,0.0148055329255345,0.0169168864021341,0.0169982556430889,0.0416076790211189,0.0526883203176617,0.1191089310079551,0.0974014541497558,median
9,s4_mixed_dynamic,5.334545965818324,9.091415993613808,False,False,True,-63.26972113702386,-61.18179640074638,-60.80106497708921,-60.86824458064132,-39.1285790469673,-29.882043694886303,0.0142595685613703,0.0152887951910882,0.0168075025009214,0.0162885481107208,0.0441202405009242,0.0613106287170141,0.1124988789857987,0.0813283583316389,median
10,s4_mixed_dynamic,4.945823765007514,9.252578001847564,True,False,True,-64.31678575705918,-61.14852831634002,-60.14622926484506,-61.197763146841794,-38.69296669298711,-27.06758330658122,0.0156694753879143,0.0153191518579875,0.0167807796729274,0.0151680897029618,0.054080082309624,0.0701910564503867,0.0973666771464066,0.0671278613655222,median
11,s4_mixed_dynamic,4.721675127324938,9.340170350002357,True,False,True,-64.31678575705918,-61.13335965459703,-60.80106497708921,-61.38183940139169,-33.09199555516751,-32.14559866048399,0.0162785072864622,0.0153173096494851,0.0158829412985691,0.0145718396986886,0.0596341079654674,0.075737080467483,0.0816870682823413,0.0604468087704798,median
12,s4_mixed_dynamic,4.340963373281298,9.42272693147179,True,False,True,-64.31678575705918,-61.05802872544017,-59.94707383873168,-61.6352455840884,-33.09199555516751,-37.66227823422284,0.0162785072864622,0.0154853932244378,0.0157063227781761,0.0137958770599094,0.0685923522455089,0.0869243110922649,0.066809021904815,0.0515126670010798,median
13,s4_mixed_dynamic,4.095436566930193,9.473710426329454,True,False,True,-65.82238869645595,-61.0160171565945,-60.80106497708921,-61.797937458386855,-33.09199555516751,-40.19946250019202,0.0162785072864622,0.0155648801778571,0.0154994166109054,0.0133152311630341,0.07548530432203,0.0946729712938106,0.0601509569052963,0.0466909253525556,median
14,s4_mixed_dynamic,3.863209848904428,9.531730849012984,True,False,True,-65.82238869645595,-60.99265112400902,-59.20699784185312,-61.96052277485562,-36.530396039656615,-42.17017574869181,0.015738979460481,0.0155766829492791,0.0138187637520215,0.012846864979284,0.0870332461464142,0.1018563281700101,0.0543920490984061,0.0426271411481142,median
15,s4_mixed_dynamic,3.520682956293645,9.491058893166894,True,False,True,-64.88540224947664,-60.84063956967558,-59.20699784185312,-62.10026547911754,-47.21131333080052,-44.24072084455306,0.015738979460481,0.0160183403603997,0.0130322308331563,0.0124719001045683,0.0944456582629564,0.1171545510634116,0.0454981127338165,0.038040839258997,median
16,s4_mixed_dynamic,3.165382501834026,9.461587695941777,True,False,True,-64.88540224947664,-60.706977676305954,-59.20699784185312,-62.262167835829736,-47.21131333080052,-46.09122459831619,0.015738979460481,0.0163844694883258,0.0121698520904837,0.0120411106688506,0.1037160671647579,0.1334337650407432,0.0418530302893313,0.0338870879457333,median
17,s4_mixed_dynamic,2.930245477093876,9.456164822050765,True,False,True,-66.68722788296012,-60.64046494663124,-63.062012533234615,-62.38305826115771,-47.21131333080052,-47.17680545661582,0.0158759533258152,0.0165399293200767,0.0119207695593039,0.0117237685822438,0.1155618429908021,0.1431480885530449,0.0381796817116254,0.0314239838836712,median
18,s4_mixed_dynamic,2.7420797060020465,9.472996628406442,True,False,True,-64.88540224947664,-60.61461061409754,-63.062012533234615,-62.496539802350334,-47.21131333080052,-47.9867606155627,0.0161322469178379,0.0165572889678728,0.0121698520904837,0.0114296942260585,0.1328905338996788,0.1488006365728884,0.035243725743972,0.0295722857821621,median
