cell_id,row,col,x,y,p_wifi,p_vlp,p_static
0,0,0,0.5,0.5,9.999999999786894e-13,9.999999999019999e-13,9.999999999403446e-13
1,0,1,1.5,0.5,9.999999999786894e-13,9.999999999019999e-13,9.999999999403446e-13
2,0,2,2.5,0.5,9.999999999786894e-13,9.999999999019999e-13,9.999999999403446e-13
3,0,3,3.5,0.5,5.0268768334760786e-11,9.999999999019999e-13,2.5634384167331388e-11
4,0,4,4.5,0.5,1.2395789963914262e-06,9.999999999019999e-13,6.197899981957129e-07
5,0,5,5.5,0.5,0.00046480946639993875,9.999999999019999e-13,0.00023240473369996932
6,0,6,6.5,0.5,0.005559607172230505,9.999999999019999e-13,0.0027798035866152524
7,0,7,7.5,0.5,0.00030672439098884235,9.999999999019999e-13,0.00015336219599442115
8,0,8,8.5,0.5,4.398627883147556e-12,9.999999999019999e-13,2.699313941524778e-12
9,0,9,9.5,0.5,2.7422084912902008e-12,9.999999999019999e-13,1.8711042455961e-12
10,1,0,0.5,1.5,9.999999999786894e-13,9.999999999019999e-13,9.999999999403446e-13
11,1,1,1.5,1.5,9.999999999786894e-13,9.999999999019999e-13,9.999999999403446e-13
12,1,2,2.5,1.5,9.999999999786894e-13,9.999999999019999e-13,9.999999999403446e-13
13,1,3,3.5,1.5,1.3311432054040036e-10,9.999999999019999e-13,6.705716027015117e-11
14,1,4,4.5,1.5,3.2381438836361218e-06,9.999999999019999e-13,1.6190724418180604e-06
15,1,5,5.5,1.5,0.001214218646057027,9.999999999019999e-13,0.0006071093235285134
16,1,6,6.5,1.5,0.014722129777968789,9.999999999019999e-13,0.007361064889484393
17,1,7,7.5,1.5,0.0008296802614602514,9.999999999019999e-13,0.0004148401312301256
18,1,8,8.5,1.5,1.2142828459667044e-11,9.999999999019999e-13,6.57141422978452e-12
19,1,9,9.5,1.5,7.662330839928343e-12,9.999999999019999e-13,4.331165419915171e-12
20,2,0,0.5,2.5,9.999999999786894e-13,9.999999999019999e-13,9.999999999403446e-13
21,2,1,1.5,2.5,9.999999999786894e-13,9.999999999019999e-13,9.999999999403446e-13
22,2,2,2.5,2.5,9.999999999786894e-13,9.999999999019999e-13,9.999999999403446e-13
23,2,3,3.5,2.5,4.623640698564897e-09,9.999999999019999e-13,2.312320349282399e-09
24,2,4,4.5,2.5,1.4349734594114363e-05,9.999999999019999e-13,7.1748677970571795e-06
25,2,5,5.5,2.5,0.002773026680674635,9.999999999019999e-13,0.0013865133408373174
26,2,6,6.5,2.5,0.04399191296538439,9.999999999019999e-13,0.02199595648319219
27,2,7,7.5,2.5,0.03765197694985107,9.999999999019999e-13,0.01882598847542553
28,2,8,8.5,2.5,0.002177802749125411,9.999999999019999e-13,0.0010889013750627053
29,2,9,9.5,2.5,0.0013791099277070385,9.999999999019999e-13,0.0006895549643535191
30,3,0,0.5,3.5,9.999999999786894e-13,9.999999999019999e-13,9.999999999403446e-13
31,3,1,1.5,3.5,9.999999999786894e-13,9.999999999019999e-13,9.999999999403446e-13
32,3,2,2.5,3.5,1.5476963195531624e-10,9.999999999019999e-13,7.788481597760911e-11
33,3,3,3.5,3.5,1.3856608177584044e-07,9.999999999019999e-13,6.928354088792015e-08
34,3,4,4.5,3.5,4.2758190092641877e-05,9.999999999019999e-13,2.1379095546320936e-05
35,3,5,5.5,3.5,0.003168926249914332,9.999999999019999e-13,0.0015844631254571656
36,3,6,6.5,3.5,0.05215727524347667,9.999999999019999e-13,0.02607863762223833
37,3,7,7.5,3.5,0.1782529109711462,0.53605918786603,0.3571560494185882
38,3,8,8.5,3.5,0.17290314113980162,0.4639408120359699,0.3184219765878858
39,3,9,9.5,3.5,0.11308509850515136,9.999999999019999e-13,0.05654254925307567
40,4,0,0.5,4.5,1.1822506917257802e-11,9.999999999019999e-13,6.4112534585798995e-12
41,4,1,1.5,4.5,1.9853398085834798e-10,9.999999999019999e-13,9.976699042912497e-11
42,4,2,2.5,4.5,9.453313724467827e-09,9.999999999019999e-13,4.727156862233863e-09
43,4,3,3.5,4.5,6.299442537595774e-07,9.999999999019999e-13,3.1497262687978863e-07
44,4,4,4.5,4.5,3.196722391008558e-05,9.999999999019999e-13,1.598361245504279e-05
45,4,5,5.5,4.5,0.0009439648679923781,9.999999999019999e-13,0.00047198243449618894
46,4,6,6.5,4.5,0.013395917476521,9.999999999019999e-13,0.0066979587387604985
47,4,7,7.5,4.5,0.07326295006458715,9.999999999019999e-13,0.03663147503279357
48,4,8,8.5,4.5,0.14093391764966456,9.999999999019999e-13,0.07046695882533227
49,4,9,9.5,4.5,0.10378469951433068,9.999999999019999e-13,0.05189234975766533
50,5,0,0.5,5.5,2.1392946956634053e-10,9.999999999019999e-13,1.0746473478312124e-10
51,5,1,1.5,5.5,2.1487303573497466e-09,9.999999999019999e-13,1.074865178674824e-09
52,5,2,2.5,5.5,2.3445651454949646e-08,9.999999999019999e-13,1.172332572747477e-08
53,5,3,3.5,5.5,2.4109539793393174e-07,9.999999999019999e-13,1.205481989669658e-07
54,5,4,4.5,5.5,2.5614127760540944e-06,9.999999999019999e-13,1.280706888027047e-06
55,5,5,5.5,5.5,3.576879880727687e-05,9.999999999019999e-13,1.7884399903638433e-05
56,5,6,6.5,5.5,0.0005462073635822185,9.999999999019999e-13,0.0002731036822911092
57,5,7,7.5,5.5,0.0048519066618292975,9.999999999019999e-13,0.0024259533314146486
58,5,8,8.5,5.5,0.015278864082887469,9.999999999019999e-13,0.007639432041943733
59,5,9,9.5,5.5,0.014803334431178846,9.999999999019999e-13,0.007401667216089421
60,6,0,0.5,6.5,3.969323799269338e-10,9.999999999019999e-13,1.9896618996341783e-10
61,6,1,1.5,6.5,1.9382674228122903e-09,9.999999999019999e-13,9.696337114060959e-10
62,6,2,2.5,6.5,4.592883372419735e-09,9.999999999019999e-13,2.296941686209818e-09
63,6,3,3.5,6.5,4.924201822946925e-09,9.999999999019999e-13,2.462600911473413e-09
64,6,4,4.5,6.5,5.824665411018978e-09,9.999999999019999e-13,2.912832705509439e-09
65,6,5,5.5,6.5,4.598985991456429e-08,9.999999999019999e-13,2.299542995728209e-08
66,6,6,6.5,6.5,2.097354579050113e-06,9.999999999019999e-13,1.0486777895250563e-06
67,6,7,7.5,6.5,6.868314219241581e-05,9.999999999019999e-13,3.4341571596207895e-05
68,6,8,8.5,6.5,0.0005144176703393478,9.999999999019999e-13,0.00025720883566967385
69,6,9,9.5,6.5,0.0008048157601195967,9.999999999019999e-13,0.0004024078805597982
70,7,0,0.5,7.5,1.8492995133799037e-10,9.999999999019999e-13,9.296497566894616e-11
71,7,1,1.5,7.5,3.849778431184563e-10,9.999999999019999e-13,1.929889215591791e-10
72,7,2,2.5,7.5,1.34513029848194e-10,9.999999999019999e-13,6.775651492404798e-11
73,7,3,3.5,7.5,2.7957535233614494e-12,9.999999999019999e-13,1.8978767616317246e-12
74,7,4,4.5,7.5,9.999999999786894e-13,9.999999999019999e-13,9.999999999403446e-13
75,7,5,5.5,7.5,9.999999999786894e-13,9.999999999019999e-13,9.999999999403446e-13
76,7,6,6.5,7.5,3.453834374448485e-10,9.999999999019999e-13,1.7319171872237522e-10
77,7,7,7.5,7.5,2.919960999048586e-07,9.999999999019999e-13,1.4599854995242924e-07
78,7,8,8.5,7.5,9.099001150964346e-06,9.999999999019999e-13,4.549501075482172e-06
79,7,9,9.5,7.5,2.6530235020681886e-05,9.999999999019999e-13,1.326511801034094e-05
80,8,0,0.5,8.5,4.035838285594025e-11,9.999999999019999e-13,2.067919142792112e-11
