cell_id,row,col,x,y
0,0,0,0.5,0.5
1,0,1,1.5,0.5
2,0,2,2.5,0.5
3,0,3,3.5,0.5
4,0,4,4.5,0.5
5,0,5,5.5,0.5
6,0,6,6.5,0.5
7,0,7,7.5,0.5
8,0,8,8.5,0.5
9,0,9,9.5,0.5
10,1,0,0.5,1.5
11,1,1,1.5,1.5
12,1,2,2.5,1.5
13,1,3,3.5,1.5
14,1,4,4.5,1.5
15,1,5,5.5,1.5
16,1,6,6.5,1.5
17,1,7,7.5,1.5
18,1,8,8.5,1.5
19,1,9,9.5,1.5
20,2,0,0.5,2.5
21,2,1,1.5,2.5
22,2,2,2.5,2.5
23,2,3,3.5,2.5
24,2,4,4.5,2.5
25,2,5,5.5,2.5
26,2,6,6.5,2.5
27,2,7,7.5,2.5
28,2,8,8.5,2.5
29,2,9,9.5,2.5
30,3,0,0.5,3.5
31,3,1,1.5,3.5
32,3,2,2.5,3.5
33,3,3,3.5,3.5
34,3,4,4.5,3.5
35,3,5,5.5,3.5
36,3,6,6.5,3.5
37,3,7,7.5,3.5
38,3,8,8.5,3.5
39,3,9,9.5,3.5
40,4,0,0.5,4.5
41,4,1,1.5,4.5
42,4,2,2.5,4.5
43,4,3,3.5,4.5
44,4,4,4.5,4.5
45,4,5,5.5,4.5
46,4,6,6.5,4.5
47,4,7,7.5,4.5
48,4,8,8.5,4.5
49,4,9,9.5,4.5
50,5,0,0.5,5.5
51,5,1,1.5,5.5
52,5,2,2.5,5.5
53,5,3,3.5,5.5
54,5,4,4.5,5.5
55,5,5,5.5,5.5
56,5,6,6.5,5.5
57,5,7,7.5,5.5
58,5,8,8.5,5.5
59,5,9,9.5,5.5
60,6,0,0.5,6.5
61,6,1,1.5,6.5
62,6,2,2.5,6.5
63,6,3,3.5,6.5
64,6,4,4.5,6.5
65,6,5,5.5,6.5
66,6,6,6.5,6.5
67,6,7,7.5,6.5
68,6,8,8.5,6.5
69,6,9,9.5,6.5
70,7,0,0.5,7.5
71,7,1,1.5,7.5
72,7,2,2.5,7.5
73,7,3,3.5,7.5
74,7,4,4.5,7.5
75,7,5,5.5,7.5
76,7,6,6.5,7.5
77,7,7,7.5,7.5
78,7,8,8.5,7.5
79,7,9,9.5,7.5
80,8,0,0.5,8.5
81,8,1,1.5,8.5
82,8,2,2.5,8.5
83,8,3,3.5,8.5
84,8,4,4.5,8.5
85,8,5,5.5,8.5
86,8,6,6.5,8.5
87,8,7,7.5,8.5
88,8,8,8.5,8.5
89,8,9,9.5,8.5
90,9,0,0.5,9.5
91,9,1,1.5,9.5
92,9,2,2.5,9.5
93,9,3,3.5,9.5
94,9,4,4.5,9.5
95,9,5,5.5,9.5
96,9,6,6.5,9.5
97,9,7,7.5,9.5
98,9,8,8.5,9.5
99,9,9,9.5,9.5
