t,wifi_degraded,vlp_blocked,mixed_dynamic
0,False,False,False
1,False,False,False
2,False,False,False
3,False,False,False
4,False,False,False
5,False,False,False
6,False,False,False
7,False,False,False
8,False,False,False
9,False,False,False
10,False,False,False
11,False,False,False
12,False,False,False
13,False,False,False
14,False,False,False
15,False,True,False
16,False,True,False
17,False,True,False
18,False,True,False
19,False,True,False
20,False,True,False
21,False,True,False
22,False,True,False
23,False,True,False
24,False,True,False
25,False,True,False
26,False,True,False
27,False,True,False
28,False,True,False
29,False,True,False
30,False,False,False
31,False,False,False
32,False,False,False
33,False,False,False
34,False,False,False
35,False,False,False
36,False,False,False
37,False,False,False
38,False,False,False
39,False,False,False
40,False,False,False
41,False,False,False
42,False,False,False
43,False,False,False
44,False,False,False
45,False,True,False
46,False,True,False
47,False,True,False
48,False,True,False
49,False,True,False
50,False,True,False
51,False,True,False
52,False,True,False
53,False,True,False
54,False,True,False
55,False,True,False
56,False,True,False
57,False,True,False
58,False,True,False
59,False,True,False
60,False,True,False
61,False,False,False
62,False,False,False
63,False,False,False
64,False,False,False
65,False,False,False
66,False,False,False
67,False,False,False
68,False,False,False
69,False,False,False
70,False,False,False
71,False,False,False
72,False,False,False
73,False,False,False
74,False,False,False
75,False,True,False
76,False,True,False
77,False,True,False
78,False,True,False
79,False,True,False
80,False,True,False
81,False,True,False
82,False,True,False
83,False,True,False
84,False,True,False
85,False,True,False
86,False,False,False
87,False,False,False
88,False,False,False
89,False,False,False
90,False,False,False
91,False,False,False
92,False,False,False
93,False,False,False
94,False,False,False
95,False,False,False
96,False,False,False
97,False,False,False
98,False,False,False
99,False,False,False
