t,wifi_degraded,vlp_blocked,mixed_dynamic
0,False,False,False
1,False,False,False
2,False,False,False
3,False,False,False
4,False,False,False
5,False,False,False
6,False,False,False
7,False,False,False
8,False,False,False
9,False,False,False
10,True,False,False
11,True,False,False
12,True,False,False
13,True,False,False
14,True,False,False
15,True,False,False
16,True,False,False
17,True,False,False
18,True,False,False
19,True,False,False
20,False,False,False
21,False,False,False
22,False,False,False
23,False,False,False
24,False,False,False
25,False,False,False
26,False,False,False
27,False,False,False
28,False,False,False
29,False,False,False
30,False,False,False
31,False,False,False
32,False,False,False
33,False,False,False
34,False,False,False
35,True,False,False
36,True,False,False
37,True,False,False
38,True,False,False
39,True,False,False
40,True,False,False
41,True,False,False
42,True,False,False
43,True,False,False
44,True,False,False
45,True,False,False
46,True,False,False
47,True,False,False
48,False,False,False
49,False,False,False
50,False,False,False
51,False,False,False
52,False,False,False
53,False,False,False
54,False,False,False
55,False,False,False
56,False,False,False
57,False,False,False
58,False,False,False
59,False,False,False
60,True,False,False
61,True,False,False
62,True,False,False
63,True,False,False
64,True,False,False
65,True,False,False
66,True,False,False
67,True,False,False
68,True,False,False
69,True,False,False
70,True,False,False
71,True,False,False
72,True,False,False
73,True,False,False
74,True,False,False
75,False,False,False
76,False,False,False
77,False,False,False
78,False,False,False
79,False,False,False
80,False,False,False
81,False,False,False
82,False,False,False
83,False,False,False
84,False,False,False
85,True,False,False
86,True,False,False
87,True,False,False
88,True,False,False
89,True,False,False
90,True,False,False
91,True,False,False
92,True,False,False
93,True,False,False
94,True,False,False
95,True,False,False
96,True,False,False
97,True,False,False
98,True,False,False
99,True,False,False
