t,wifi_degraded,vlp_blocked,mixed_dynamic
0,False,False,True
1,False,False,True
2,False,False,True
3,False,False,True
4,False,False,True
5,False,False,True
6,False,False,True
7,False,False,True
8,False,False,True
9,False,False,True
10,True,False,True
11,True,False,True
12,True,False,True
13,True,False,True
14,True,False,True
15,True,False,True
16,True,False,True
17,True,False,True
18,True,False,True
19,True,False,True
20,False,False,True
21,False,False,True
22,False,False,True
23,False,False,True
24,False,False,True
25,False,True,True
26,False,True,True
27,False,True,True
28,False,True,True
29,False,True,True
30,False,True,True
31,False,True,True
32,False,True,True
33,False,True,True
34,False,True,True
35,False,True,True
36,False,True,True
37,False,True,True
38,False,True,True
39,False,True,True
40,False,True,True
41,False,True,True
42,False,False,True
43,False,False,True
44,False,False,True
45,True,False,True
46,True,False,True
47,True,False,True
48,True,False,True
49,True,False,True
50,True,False,True
51,True,False,True
52,True,False,True
53,True,False,True
54,True,False,True
55,True,False,True
56,True,False,True
57,True,False,True
58,False,False,True
59,False,False,True
60,False,False,True
61,False,False,True
62,False,False,True
63,False,False,True
64,False,False,True
65,False,True,True
66,False,True,True
67,False,True,True
68,False,True,True
69,False,True,True
70,False,True,True
71,False,True,True
72,False,True,True
73,False,True,True
74,False,True,True
75,False,True,True
76,False,True,True
77,False,True,True
78,False,True,True
79,False,True,True
80,True,False,True
81,True,False,True
82,True,False,True
83,True,False,True
84,True,False,True
85,True,False,True
86,True,False,True
87,True,False,True
88,True,False,True
89,True,False,True
90,True,False,True
91,True,False,True
92,True,False,True
93,True,False,True
94,True,False,True
95,False,False,True
96,False,False,True
97,False,False,True
98,False,False,True
99,False,False,True
