t,scenario,true_x,true_y,wifi_degraded,vlp_blocked,mixed_dynamic,wifi_ap1_dbm,wifi_ap1_clean_dbm,wifi_ap2_dbm,wifi_ap2_clean_dbm,wifi_ap3_dbm,wifi_ap3_clean_dbm,vlp_led1_intensity,vlp_led1_clean_intensity,vlp_led2_intensity,vlp_led2_clean_intensity,vlp_led3_intensity,vlp_led3_clean_intensity,vlp_led4_intensity,vlp_led4_clean_intensity
0,s4_mixed_dynamic,8.548260044884431,3.875368266732585,False,False,True,-62.08654307100712,-59.959944346774286,-49.90906918828231,-50.20773921264725,-56.89761159678622,-57.48354714968279,0.02065593559424212,0.019842562855383203,0.12687719359471036,0.12791657444446253,0.016221199488261482,0.01565133911268171,0.04759688771831992,0.04691933287849623
1,s4_mixed_dynamic,8.648647791547123,3.682160416153107,False,False,True,-57.02367119704363,-59.99291348200764,-48.268978913456976,-49.507946217599034,-57.48441775693883,-57.80911342468364,0.0196861090315964,0.019594710408206484,0.13788300288214622,0.13792327990041403,0.013394895259947673,0.01495925335863687,0.043927585419056926,0.043356706329455603
2,s4_mixed_dynamic,8.904314502785434,3.314602216855924,False,False,True,-62.908349589507495,-60.14603234762871,-50.20716111514236,-48.02663730984291,-56.380865795317234,-58.450405529686634,0.018180272360685618,0.018727385134420262,0.1525173725774285,0.1527658943021444,0.015596936028613414,0.01358280211473583,0.03803552246761559,0.03735421987192608
3,s4_mixed_dynamic,9.310389003930128,3.04167485894367,False,False,True,-57.43182452758218,-60.51164471724688,-47.63654727987896,-46.92886023214213,-59.43823770587865,-59.06349996168536,0.017757747044651363,0.01708616800035189,0.14585706879898785,0.1470111345577178,0.010678810085289795,0.012191141158091938,0.032096961413771344,0.03300100491294967
4,s4_mixed_dynamic,9.706838327803332,2.8964874698404373,False,False,True,-57.11791640056889,-60.89836836794159,-43.09488109414287,-46.7362919857692,-57.9544055043123,-59.51222929578458,0.01596435557062699,0.015576555259477655,0.12875619226181198,0.1295842558803099,0.011652362702720727,0.011180530133685834,0.030073248235582068,0.03034060003578084
5,s4_mixed_dynamic,9.41844096729231,2.900422758078939,False,False,True,-60.00352633767856,-60.59254891291667,-42.36112152263573,-46.36086926859,-61.396335049257125,-59.29172698279511,0.014510662415491668,0.0167101052736517,0.14813591721713668,0.14656876824559087,0.01349878144498605,0.011759316735311895,0.031749698548717016,0.03123276066390542
6,s4_mixed_dynamic,8.964378339140287,2.9597287260816096,False,False,True,-61.50216453718559,-60.1061677218614,-45.81341043856112,-46.429889216127435,-60.41555426712674,-58.894482852991615,0.017976815338115706,0.018718303520417447,0.17188925348779982,0.17090789392771838,0.01351049781306726,0.012835833512529638,0.030940578500299167,0.03296591709353666
7,s4_mixed_dynamic,8.774353844140126,3.131454780222936,False,False,True,-62.8985607176796,-59.94084711017453,-48.32686369382635,-47.28411719214658,-59.65240128850438,-58.5614028428172,0.019795900971671655,0.01954191411210873,0.17094371541320674,0.17007341299553635,0.012091172106507543,0.013587952990832222,0.0338552751446057,0.03533274702299461
8,s4_mixed_dynamic,8.418152736801511,3.188810020474088,False,False,True,-57.99225860261346,-59.5453008590831,-50.51473831359781,-47.81076534517292,-58.242113018768016,-58.233261349761676,0.022088497098690242,0.02145648609428062,0.17888359932607187,0.1789510292066953,0.01318564750621768,0.014632668747706284,0.03647988907241086,0.03660000487760593
9,s4_mixed_dynamic,8.165062128503568,3.3554638975618585,False,False,True,-62.17742212761686,-59.305086699856744,-46.242034012267446,-48.751110391041394,-60.30332680884319,-57.84189158265693,0.022914278988630212,0.022807475512496837,0.16990519183512548,0.17051670992172935,0.014977537829290163,0.015728288987298094,0.04084139586489204,0.03906408527991318
10,s4_mixed_dynamic,8.047852018915972,3.3896047138916883,True,False,True,-66.00154874767337,-59.177091973580445,-45.58839809290817,-49.02712553487754,-68.7681754514926,-57.71327174169599,0.021311054566657897,0.023525251778616047,0.16915287354308908,0.16854052617551304,0.015900107240937218,0.016172787804104857,0.03946270510600174,0.03959136248739686
11,s4_mixed_dynamic,7.628992597812742,3.5120336380508936,True,False,True,-59.614334057761866,-58.71286328745341,-51.02556869880891,-50.04610792589764,-51.16979510621239,-57.254010441784814,0.026745609597115073,0.026335330712636554,0.15780410925789454,0.15566886344283104,0.01901595264852631,0.01791235136862216,0.04067157010783832,0.04118702902625085
12,s4_mixed_dynamic,7.264240580596287,3.551955010215912,True,False,True,-64.9513296876305,-58.26463459028402,-52.0527989839455,-50.76768291157554,-60.815426909676454,-56.958466975729436,0.029743538690445583,0.02930764220061052,0.14319722739487112,0.14388683244735453,0.01739101114348595,0.019418481295718305,0.041804419563631366,0.041107525269150715
13,s4_mixed_dynamic,6.807654944686304,3.3798711617406227,True,False,True,-47.55919301581211,-57.5495662865208,-53.01807189992353,-51.219488139644284,-60.39546071922937,-56.96470550486567,0.03413086126447144,0.034461855140548524,0.13711274337428822,0.1365051459010926,0.020437010032717445,0.020635943419730702,0.037668734078390935,0.037359048215504634
14,s4_mixed_dynamic,6.644376635151973,3.2678225998295574,True,False,True,-55.2898678995259,-57.25047808339986,-48.53673702193495,-51.319639863917075,-72.14648639971884,-57.06082542106459,0.03646895707565687,0.0367949961809411,0.13437310179990142,0.134316731456694,0.02012624626572251,0.020849084262329447,0.03523779117437783,0.03542178067753688
15,s4_mixed_dynamic,6.164360277507891,3.220123101722137,True,False,True,-64.37082651586302,-56.4964919435467,-48.31039159157156,-52.24226578401606,-52.27316266568275,-56.95225012921035,0.04296740699372164,0.04380086969229492,0.1122300457075591,0.11288881424011553,0.023947095628753624,0.02263000501391919,0.032329324651207594,0.0330941767718135
16,s4_mixed_dynamic,5.921670782647944,3.170353913208966,True,False,True,-51.645646099239954,-56.075374270201806,-54.39375694221641,-52.670643672587595,-56.32557293688967,-56.96207118069519,0.048486538305730804,0.04819455948656876,0.10308067205234632,0.10320790162136342,0.02163650718935781,0.023416471066215024,0.03269308249455037,0.03160063505787668
17,s4_mixed_dynamic,5.679154300480839,2.9818995639648525,True,False,True,-50.724967013298766,-55.53196465389668,-45.46739462902361,-52.922951508238945,-49.80721457258148,-57.208564146042875,0.05413707127627108,0.05405316839884733,0.0956989425452724,0.09661414273383594,0.023992359913680948,0.02340960506729824,0.02868243768326024,0.02892877603233911
18,s4_mixed_dynamic,5.40719635144305,2.7083718362264517,True,False,True,-55.58301504454311,-54.84032413575282,-56.22877117743404,-53.19331592277084,-51.264429142011394,-57.592755792783734,0.06180448954236809,0.062070250276899414,0.08768986134245921,0.08909145182013894,0.02347988723113405,0.022930354578280437,0.026901931837703768,0.025823805621054585
19,s4_mixed_dynamic,5.231798982702207,2.4839699101632213,True,False,True,-59.07567475796644,-54.33760150661524,-53.54846299891075,-53.36372088256689,-64.58059415634698,-57.91366948601427,0.0660984561170845,0.06812568476103324,0.08386572326532822,0.08405364684728377,0.019923956473548887,0.02228605313500746,0.023194061815346938,0.023758880723361013
20,s4_mixed_dynamic,5.28923634607891,2.192766390499288,False,False,True,-58.29141892795051,-54.26819802164718,-53.362614828470356,-52.997908663737356,-59.434770056512995,-58.333971280772396,0.06731774981043523,0.06731180716149796,0.08904546062601797,0.08783179637909683,0.019939074469150126,0.020600276425323534,0.024177352240855397,0.0221866241374316
21,s4_mixed_dynamic,5.38054459804343,2.090291333531373,False,False,True,-52.98447223251264,-54.40075513961495,-54.449811899650484,-52.705084589614074,-56.690774659454384,-58.482582283908656,0.0634425922394607,0.06478263935934697,0.09153279458495477,0.09199886659668445,0.019338451619831706,0.019859893100637297,0.021931989531463497,0.021840640449302045
22,s4_mixed_dynamic,5.395660287878729,1.904575277898607,False,False,True,-56.4097067338098,-54.344674480200766,-55.43211933113224,-52.541964829923096,-57.89105312866727,-58.73635642515739,0.06376733774625466,0.0643516600216744,0.09409533533325876,0.09266388188800738,0.01795593236865047,0.018980838552388406,0.02028016882759943,0.020860805328164186
23,s4_mixed_dynamic,5.346981386445022,1.7399481748937806,False,False,True,-50.789021282346965,-54.17658534374489,-53.471676852706935,-52.57043600568262,-61.26354257039951,-58.951573555033896,0.0662504381539357,0.06548826492085533,0.09125534380020925,0.09004032686497558,0.0175906087392838,0.018385552414533792,0.017781965495078086,0.019909706844654727
24,s4_mixed_dynamic,5.356397214861652,1.3990305548570758,False,False,True,-55.60385429409243,-54.10071778912547,-54.102513447698676,-52.41063807421238,-60.51690905926111,-59.38960904080379,0.06518181221546183,0.06399358410390091,0.08633901576753511,0.08810727973715067,0.015915417035580307,0.016995761291908718,0.018895639242528236,0.018327964268785846
25,s4_mixed_dynamic,5.55511192506875,1.1971395250192285,False,True,True,-51.96828277218375,-54.49591879490744,-52.633487635197525,-51.83347194346426,-63.29760438752024,-59.653702086696484,0.057886353018582255,0.05785896685668224,0.0947576254456884,0.09414367376433108,0.003655244839298466,0.015893770755620353,0.004626746411584291,0.017775758975825565
