t,scenario,true_x,true_y,wifi_degraded,vlp_blocked,mixed_dynamic,wifi_ap1_dbm,wifi_ap1_clean_dbm,wifi_ap2_dbm,wifi_ap2_clean_dbm,wifi_ap3_dbm,wifi_ap3_clean_dbm,vlp_led1_intensity,vlp_led1_clean_intensity,vlp_led2_intensity,vlp_led2_clean_intensity,vlp_led3_intensity,vlp_led3_clean_intensity,vlp_led4_intensity,vlp_led4_clean_intensity
0,s1_clean,2.2799291600344294,5.687548118721819,False,False,False,-53.90377325425254,-55.10432415677157,-57.81916829040615,-60.09625814080229,-56.79509125595624,-53.90549271242168,0.056844721467678855,0.05657269661479915,0.017090246235862475,0.01987391134391324,0.10691248119036639,0.10609185772390912,0.02491071496347606,0.023771803550765018
1,s1_clean,2.311993742915821,5.314965509108,False,False,False,-55.859306794629994,-54.39192030839843,-61.95705838190791,-59.819088762928615,-54.477645528242896,-54.49981204829351,0.06644186507871476,0.06628514518136083,0.021587786666686686,0.02112270938813125,0.08828723438846385,0.0884427419308305,0.023525949158157693,0.022955352203762536
2,s1_clean,2.4844149891244345,4.892233443738157,False,False,False,-52.316123995231294,-53.63311171151667,-54.83004959110696,-59.36484049456638,-52.826870457316424,-55.020761945485894,0.07947363705357366,0.07936714432957692,0.024550135018765,0.023371752900767425,0.07229538524799992,0.0719793634306059,0.02298295971426746,0.022686081516043476
3,s1_clean,2.842745217514855,4.547438345307587,False,False,False,-53.79792306064616,-53.23935311972469,-60.214517942518384,-58.73583670833875,-55.4585992440393,-55.27674083357637,0.08964503654203138,0.0892884118736903,0.02845527120419527,0.026963830356793648,0.058255133787034334,0.0601308393628788,0.02276987307651922,0.02351974992287213
4,s1_clean,2.9864127708382706,4.543611784897228,False,False,False,-53.303936519751154,-53.39319773748884,-57.82456952982644,-58.56482085135826,-55.19874815301263,-55.16516038100693,0.08823522221850479,0.08738989150348456,0.027569942963445743,0.028085140134134674,0.05953602833805636,0.059102948516354385,0.025002145243393486,0.02434116001387761
5,s1_clean,3.340887948111646,4.334249547684212,False,False,False,-51.56537511880426,-53.42031875011332,-55.662625783301884,-57.9839882012587,-51.99644188882342,-55.285091407625245,0.08799019002100376,0.08891495922713194,0.03303779863023476,0.032096498958200305,0.05157184473575476,0.05198665205598767,0.025336170395559975,0.02554601314644988
6,s1_clean,3.68623544692832,4.015886165396863,False,False,False,-54.800893691772146,-53.33741247360362,-57.373901972006166,-57.29285071514495,-54.092037464107335,-55.66783384918969,0.09233297114536751,0.09168266746389048,0.0372700105811509,0.03749199313799431,0.045051842629116115,0.0440207631280602,0.027194918396395255,0.025986359257793475
7,s1_clean,4.1188059230374,3.834922193216244,False,False,False,-54.46255483034978,-53.74487693519134,-58.05656610502395,-56.536129229010726,-55.35642103241545,-55.82475445136692,0.0866487185835268,0.08434350143027529,0.045191571040703614,0.044581941257607845,0.03869381951196498,0.03870386683120817,0.027521003068312826,0.02746382008375256
8,s1_clean,4.374208764323148,3.616554373320941,False,False,False,-49.15540240956129,-53.86908351635187,-56.356697014445906,-55.960239200729845,-55.989441999219714,-56.1474478638732,0.08186068604011801,0.08163188473198355,0.0503345579905975,0.05060828597286462,0.03277741225393064,0.03466028763553406,0.02658538605707698,0.027502025928875073
9,s1_clean,4.8310090365174965,3.516701129989274,False,False,False,-50.904880588014315,-54.54678089601196,-56.45855023859467,-55.12510740923521,-53.37744904799573,-56.26345757823553,0.06931398512798415,0.06985682049816294,0.06161711279011699,0.06118870297979299,0.031248005648424972,0.031138503796998947,0.030528223177304494,0.02928903290336587
