t,scenario,true_x,true_y,wifi_degraded,vlp_blocked,mixed_dynamic,wifi_ap1_dbm,wifi_ap1_clean_dbm,wifi_ap2_dbm,wifi_ap2_clean_dbm,wifi_ap3_dbm,wifi_ap3_clean_dbm,vlp_led1_intensity,vlp_led1_clean_intensity,vlp_led2_intensity,vlp_led2_clean_intensity,vlp_led3_intensity,vlp_led3_clean_intensity,vlp_led4_intensity,vlp_led4_clean_intensity
0,s2_wifi_degraded,6.1055626688123565,8.931678203850066,False,False,False,-62.68014227054717,-61.44212456873943,-59.37618415453758,-60.38326695527631,-40.56288031398026,-40.977043661348986,0.016061608461140263,0.014512986082588575,0.016983687649960458,0.01797363269120391,0.044155118928194834,0.04603273946289546,0.11986407957742136,0.1182464000600222
1,s2_wifi_degraded,6.320554771122484,9.075343533082185,False,False,False,-62.229731284068734,-61.67992272512559,-57.08615756611215,-60.456503932781374,-46.81253773386854,-42.67216687551535,0.01433144515074517,0.013749923068228791,0.016946828277778252,0.01758055601005238,0.04233983522485914,0.04197525960295465,0.1251553174476148,0.1253619828674846
2,s2_wifi_degraded,6.58026211240472,9.446929430621816,False,False,False,-62.91935066788948,-62.117493723249076,-59.36339526971864,-60.76414599988776,-46.445405020543326,-44.73964481683798,0.013830084331584277,0.012432312436096838,0.016882561248257384,0.016267459518948535,0.03692035784108212,0.03693798059739203,0.12456849406060838,0.12331580747418978
3,s2_wifi_degraded,6.690486996140005,9.773722821152626,False,False,False,-61.12792484413366,-62.42743715663006,-59.74019382222134,-61.07009832127243,-43.97663830388216,-45.92485468426778,0.012576620229053773,0.011569864630437006,0.014626673683420527,0.015118165667488661,0.035806213209709246,0.03430912968966424,0.11310965615376367,0.112855137367999
4,s2_wifi_degraded,6.648930003357536,9.453988556211296,False,False,False,-63.495025500937565,-62.15881717995184,-58.91952949562972,-60.75123993065357,-45.1918934262789,-45.127508315979185,0.011597258085338595,0.01231914030324932,0.01620460943325133,0.016290004955165867,0.03285745996890351,0.0360664060323944,0.12478440649325986,0.1259529464938366
5,s2_wifi_degraded,6.503414861243288,9.34880509424309,False,False,False,-61.67262287574041,-61.9995280636318,-60.111191281816595,-60.68489241050824,-48.757616358519094,-44.14620136579734,0.014654351447746869,0.012773727940501287,0.01771509145210234,0.016598969597616572,0.03888913484377005,0.0383141460126734,0.12277522338933657,0.12408422338070421
6,s2_wifi_degraded,6.309679632446698,9.224501326679391,False,False,False,-62.83742717815408,-61.796771594500626,-59.73819058559697,-60.61803987167855,-40.36435853673563,-42.71598215213321,0.012362218328043283,0.013374927940859642,0.01664980459918582,0.01693462826734811,0.04288849512766571,0.04154076002700366,0.11899121311303339,0.11966608694838358
7,s2_wifi_degraded,6.06460409098813,9.084291660062746,False,False,False,-63.23596533463535,-61.54976956582568,-58.86064949461245,-60.55976168788711,-42.55539634320115,-40.62799354145278,0.015407008962263099,0.01414263231664348,0.01922672436079641,0.017261335303937142,0.046555828856260376,0.046089969383375076,0.1153831696657134,0.11208945617220575
8,s2_wifi_degraded,5.726062604387588,9.046898224684307,False,False,False,-59.760034191198244,-61.33955458498227,-59.29211065162077,-60.6555961580599,-36.390422341615924,-36.96131963427428,0.015027457349087048,0.014805532925534513,0.016112750898554004,0.016998255643088926,0.05415907151572001,0.0526883203176617,0.09843128078255584,0.0974014541497558
9,s2_wifi_degraded,5.334545965818324,9.091415993613808,False,False,False,-60.43404693684917,-61.18179640074638,-60.53806503313494,-60.86824458064132,-33.54276630543943,-29.882043694886306,0.01666953920435322,0.015288795191088226,0.013581658675675607,0.016288548110720853,0.06079296864259919,0.06131062871701419,0.08046344735472516,0.08132835833163893
