t,scenario,true_x,true_y,wifi_degraded,vlp_blocked,mixed_dynamic,wifi_ap1_dbm,wifi_ap1_clean_dbm,wifi_ap2_dbm,wifi_ap2_clean_dbm,wifi_ap3_dbm,wifi_ap3_clean_dbm,vlp_led1_intensity,vlp_led1_clean_intensity,vlp_led2_intensity,vlp_led2_clean_intensity,vlp_led3_intensity,vlp_led3_clean_intensity,vlp_led4_intensity,vlp_led4_clean_intensity
0,s3_vlp_blocked,6.1055626688123565,8.931678203850066,False,False,False,-58.95187369438721,-61.44212456873943,-60.556736619747426,-60.38326695527631,-42.48579361808388,-40.977043661348986,0.015042451778760561,0.014512986082588575,0.0171431448966133,0.01797363269120391,0.046475327567990984,0.04603273946289546,0.1189218753209891,0.1182464000600222
1,s3_vlp_blocked,6.320554771122484,9.075343533082185,False,False,False,-62.93321004454339,-61.67992272512559,-62.492240109755166,-60.456503932781374,-43.52554629711642,-42.67216687551535,0.013645242502866577,0.013749923068228791,0.016297002215266174,0.01758055601005238,0.04136784189968899,0.04197525960295465,0.1261727143449962,0.1253619828674846
2,s3_vlp_blocked,6.58026211240472,9.446929430621816,False,False,False,-63.78383323271047,-62.117493723249076,-58.20693989713166,-60.76414599988776,-48.10499011695544,-44.73964481683798,0.013357831969178205,0.012432312436096838,0.0158397276257562,0.016267459518948535,0.03715847630049766,0.03693798059739203,0.1225809700689758,0.12331580747418978
3,s3_vlp_blocked,6.690486996140005,9.773722821152626,False,False,False,-63.46487228925332,-62.42743715663006,-61.8621552786693,-61.07009832127243,-46.0261835791758,-45.92485468426778,0.01055632526493178,0.011569864630437006,0.014295070165983241,0.015118165667488661,0.03321254806640143,0.03430912968966424,0.11400191404029136,0.112855137367999
4,s3_vlp_blocked,6.648930003357536,9.453988556211296,False,False,False,-65.40541736325216,-62.15881717995184,-66.21678451177657,-60.75123993065357,-44.02369851449199,-45.127508315979185,0.015429868737873166,0.01231914030324932,0.014847252098906884,0.016290004955165867,0.036456393770207346,0.0360664060323944,0.12637676400656106,0.1259529464938366
5,s3_vlp_blocked,6.503414861243288,9.34880509424309,False,False,False,-60.10261816040081,-61.9995280636318,-60.01461961856761,-60.68489241050824,-43.999404033982714,-44.14620136579734,0.012925593437341117,0.012773727940501287,0.015174266285850889,0.016598969597616572,0.037721093226059495,0.0383141460126734,0.12439991258431812,0.12408422338070421
6,s3_vlp_blocked,6.309679632446698,9.224501326679391,False,False,False,-62.2714162251435,-61.796771594500626,-62.44430976911225,-60.61803987167855,-40.25928420732078,-42.71598215213321,0.010649080303246232,0.013374927940859642,0.018384425907353234,0.01693462826734811,0.0416866921683601,0.04154076002700366,0.1194015896541629,0.11966608694838358
7,s3_vlp_blocked,6.06460409098813,9.084291660062746,False,False,False,-63.54420646876282,-61.54976956582568,-58.7801162465127,-60.55976168788711,-39.37374648422129,-40.62799354145278,0.0126004506904292,0.01414263231664348,0.01827671681959255,0.017261335303937142,0.04733722194256071,0.046089969383375076,0.11223121684865045,0.11208945617220575
8,s3_vlp_blocked,5.726062604387588,9.046898224684307,False,False,False,-62.22167480509767,-61.33955458498227,-63.309190633848345,-60.6555961580599,-37.6103089401863,-36.96131963427428,0.014246141274832773,0.014805532925534513,0.017356457784964,0.016998255643088926,0.05291167272295614,0.0526883203176617,0.09691605031275254,0.0974014541497558
9,s3_vlp_blocked,5.334545965818324,9.091415993613808,False,False,False,-59.40901505467613,-61.18179640074638,-61.30220230890722,-60.86824458064132,-28.14285950396647,-29.882043694886306,0.017873675716115728,0.015288795191088226,0.016757431440198853,0.016288548110720853,0.061042026541033224,0.06131062871701419,0.08034607584886394,0.08132835833163893
