stress_group,stress_level,stress_value,static_fusion_mean_error_m,adaptive_fusion_mean_error_m,mean_error_absolute_improvement_m,mean_error_improvement_percent,static_fusion_p90_error_m,adaptive_fusion_p90_error_m,p90_improvement_percent,failure_rate_change,smoothness_change_m_per_step,adaptive_wins
mixed_dynamic,mild,0.0,0.8087474252325823,0.6416601554952612,0.16708726973732102,20.660006390656452,1.830737796381203,1.1686181686152104,36.16681914115699,-0.06100000000000001,-0.38038087763994444,True
mixed_dynamic,nominal,1.0,0.8105189108275315,0.6443970627885326,0.16612184803899888,20.495739929052384,1.9569602597313438,1.253605735757128,35.941175630759815,-0.06300000000000001,-0.40916475903554317,True
mixed_dynamic,severe,2.0,0.8603141943140411,0.7117052635443835,0.14860893076965764,17.27379738144955,2.2743524562023745,1.5117966367536009,33.52848048547672,-0.05899999999999998,-0.40283065837039567,True
vlp_blockage,0.10,0.1,1.0007854321958607,0.6942445279140191,0.30654090428184155,30.630032614408535,2.6911912186155815,1.3218111232575065,50.88379026676966,-0.11799999999999997,-0.6776551406626424,True
vlp_blockage,0.20,0.2,1.0778618606040102,0.8057881411934626,0.2720737194105476,25.241984094147597,2.908837716530624,1.7047508866368932,41.39408750962729,-0.10099999999999998,-0.6499875777787153,True
vlp_blockage,0.30,0.3,1.1227831325216378,0.8751970030837442,0.2475861294378936,22.05110873743218,3.0543486404903497,1.9841835117092543,35.03742547901439,-0.092,-0.6869152900796408,True
vlp_blockage,0.40,0.4,1.1776790226763816,1.0030984331828627,0.17458058949351885,14.824123223046696,3.187382833963043,2.505193615717685,21.402801413633636,-0.07200000000000004,-0.5840336146743399,True
wifi_noise,3.0,3.0,0.4707578784175032,0.470734438310943,2.34401065601908e-05,0.004979227674104344,0.828296049296946,0.8274763953544128,0.0989566403496634,0.0,0.004632107512754613,True
wifi_noise,6.0,6.0,0.4799600270235388,0.470734438310943,0.009225588712595767,1.922157720051823,0.8284277171826513,0.8274763953544128,0.11483462087360259,-0.002,-0.015027514700266809,True
wifi_noise,9.0,9.0,0.4976972374855115,0.470734438310943,0.026962799174568453,5.41751031426076,0.8320311826594663,0.8274763953544128,0.547429880031038,-0.005000000000000001,-0.04525361035367259,True
