stress_group,method_label,trend_metric,mean_error_slope,highest_minus_lowest_mean_error_m,degrades_monotonically
mixed_dynamic,adaptive_fusion,severe_minus_mild_delta,0.03502255402456121,0.07004510804912223,True
mixed_dynamic,graph_diffusion_3,severe_minus_mild_delta,0.11898771234395232,0.23797542468790445,True
mixed_dynamic,static_fusion,severe_minus_mild_delta,0.02578338454072945,0.05156676908145885,True
mixed_dynamic,vlp_only,severe_minus_mild_delta,0.023887160478867943,0.047774320957735705,True
mixed_dynamic,wifi_only,severe_minus_mild_delta,0.2283084054974266,0.45661681099485296,True
vlp_blockage,adaptive_fusion,mean_error_slope_per_blockage_prob,0.9959705776968123,0.3088539052688436,True
vlp_blockage,graph_diffusion_3,mean_error_slope_per_blockage_prob,0.21107750178928728,0.06271246756180737,True
vlp_blockage,static_fusion,mean_error_slope_per_blockage_prob,0.5756020433591895,0.1768935904805209,True
vlp_blockage,vlp_only,mean_error_slope_per_blockage_prob,0.5777988705142729,0.17801502536082325,True
vlp_blockage,wifi_only,mean_error_slope_per_blockage_prob,-8.709950198840082e-16,0.0,True
wifi_noise,adaptive_fusion,mean_error_slope_per_wifi_sigma,-3.3311920227766686e-17,0.0,True
wifi_noise,graph_diffusion_3,mean_error_slope_per_wifi_sigma,0.05361255822769596,0.32167534936617626,True
wifi_noise,static_fusion,mean_error_slope_per_wifi_sigma,0.004489893178001358,0.026939359068008262,True
wifi_noise,vlp_only,mean_error_slope_per_wifi_sigma,-1.108673483698882e-17,0.0,True
wifi_noise,wifi_only,mean_error_slope_per_wifi_sigma,0.10868345469327828,0.6521007281596705,True
