stress_group,stress_level,stress_parameter,stress_value,method_label,n_seeds,mean_error_m_mean,mean_error_m_std,mean_error_m_ci95_low,mean_error_m_ci95_high,median_error_m_mean,median_error_m_std,p90_error_m_mean,p90_error_m_std,p90_error_m_ci95_low,p90_error_m_ci95_high,failure_rate_mean,failure_rate_std,zone_accuracy_mean,zone_accuracy_std,trajectory_smoothness_m_per_step_mean,trajectory_smoothness_m_per_step_std
mixed_dynamic,mild,wifi_sigma_db+blockage_prob,0.0,adaptive_fusion,10,0.6416601554952612,0.10440999470897953,0.5669697447278321,0.7163505662626903,0.45428951453247723,0.038385922625616825,1.1686181686152104,0.2631960710430079,0.9803390415702491,1.3568972956601717,0.03899999999999999,0.026012817353502228,0.8640000000000001,0.06022181221672647,0.5884495215558474,0.07843764195607626
mixed_dynamic,mild,wifi_sigma_db+blockage_prob,0.0,static_fusion,10,0.8087474252325823,0.09956172228079312,0.7375252596286835,0.879969590836481,0.4535053001390459,0.0344573107254573,1.830737796381203,0.6397844424400762,1.3730635771491033,2.2884120156133028,0.1,0.024494897427831785,0.827,0.05078276172963508,0.9688303991957918,0.15738192608949894
mixed_dynamic,mild,wifi_sigma_db+blockage_prob,0.0,vlp_only,10,0.8087474252325823,0.09956172228079312,0.7375252596286835,0.879969590836481,0.4535053001390459,0.0344573107254573,1.830737796381203,0.6397844424400762,1.3730635771491033,2.2884120156133028,0.1,0.024494897427831785,0.827,0.05078276172963508,0.9688303991957918,0.15738192608949894
mixed_dynamic,mild,wifi_sigma_db+blockage_prob,0.0,graph_diffusion_3,10,1.01552634577975,0.0889022258750133,0.9519295245438955,1.0791231670156047,0.8009960364250599,0.06311172381375522,2.0714432931356437,0.4039229623142006,1.7824942125640517,2.3603923737072354,0.10300000000000001,0.04001388647846033,0.6209999999999999,0.04581363212940981,1.2344795105786677,0.12289761073820026
mixed_dynamic,mild,wifi_sigma_db+blockage_prob,0.0,wifi_only,10,1.8426616290087767,0.25608597562427593,1.6594687578237157,2.0258545001938377,1.3613661690991936,0.1949180135452642,3.749007965118447,0.8222484602089404,3.1608068506842364,4.337209079552657,0.31599999999999995,0.07589466384404109,0.369,0.06740425308044985,2.604570994949593,0.44043292082719737
mixed_dynamic,nominal,wifi_sigma_db+blockage_prob,1.0,adaptive_fusion,10,0.6443970627885326,0.0703578472008734,0.594066090904159,0.6947280346729062,0.4610507090363291,0.031152801266107793,1.253605735757128,0.255868133233394,1.0705686996307975,1.4366427718834585,0.039999999999999994,0.024944382578492946,0.853,0.046678569910494135,0.570834920940434,0.0747009425945901
mixed_dynamic,nominal,wifi_sigma_db+blockage_prob,1.0,static_fusion,10,0.8105189108275315,0.10407387223184991,0.736068947595369,0.8849688740596939,0.4660966013683076,0.031353719847098664,1.9569602597313438,0.666418853707604,1.4802329304625552,2.4336875890001326,0.10300000000000001,0.029078437983419185,0.818,0.053707024162994214,0.9799996799759771,0.16025014977117003
mixed_dynamic,nominal,wifi_sigma_db+blockage_prob,1.0,vlp_only,10,0.8105189108275315,0.10407387223184991,0.736068947595369,0.8849688740596939,0.4660966013683076,0.031353719847098664,1.9569602597313438,0.666418853707604,1.4802329304625552,2.4336875890001326,0.10300000000000001,0.029078437983419185,0.818,0.053707024162994214,0.9799996799759771,0.16025014977117003
mixed_dynamic,nominal,wifi_sigma_db+blockage_prob,1.0,graph_diffusion_3,10,1.1132152251425362,0.0780995145023071,1.0573461980903547,1.1690842521947178,0.8825557909496606,0.06296340468269294,2.234271852156577,0.26543362431876233,2.0443920759233274,2.4241516283898266,0.13200000000000003,0.04131182235954578,0.5670000000000001,0.04347413023856831,1.3610112934274476,0.11575409165590926
mixed_dynamic,nominal,wifi_sigma_db+blockage_prob,1.0,wifi_only,10,2.033739414856654,0.25004226964402665,1.8548699504822206,2.212608879231088,1.4712375874022359,0.2111820385020882,4.4191762283646145,0.7604471056493635,3.8751851397129387,4.96316731701629,0.352,0.07146094504459527,0.346,0.059292120518291094,2.8304236764068413,0.42463438617504484
mixed_dynamic,severe,wifi_sigma_db+blockage_prob,2.0,adaptive_fusion,10,0.7117052635443835,0.1053917785533871,0.636312526923687,0.7870980001650799,0.4660325874245953,0.040663469032352836,1.5117966367536009,0.4371551378013467,1.1990746899468498,1.824518583560352,0.05800000000000001,0.03675746333890726,0.821,0.06983313444681305,0.6351460286031795,0.08495736131557287
mixed_dynamic,severe,wifi_sigma_db+blockage_prob,2.0,vlp_only,10,0.856521746190318,0.08572642484356802,0.7951967561542964,0.9178467362263395,0.4686709134838806,0.03198397019719021,2.2343137673512814,0.6239806139064606,1.78794492600148,2.680682608701083,0.11600000000000002,0.03062315754094894,0.786,0.05758086101783782,1.0275135703348155,0.11708463756510676
mixed_dynamic,severe,wifi_sigma_db+blockage_prob,2.0,static_fusion,10,0.8603141943140411,0.08914936306997862,0.7965405817790457,0.9240878068490365,0.470192295337565,0.029535585652337614,2.2743524562023745,0.6486741501434511,1.810318923172605,2.738385989232144,0.11699999999999999,0.031640339933558095,0.785,0.05854722690083432,1.0379766869735751,0.13003944236233259
mixed_dynamic,severe,wifi_sigma_db+blockage_prob,2.0,graph_diffusion_3,10,1.2535017704676545,0.05236629507621788,1.2160411796447845,1.2909623612905246,0.9657206245545928,0.07466699541230115,2.54791882254013,0.30620657497029397,2.328871834481506,2.766965810598754,0.194,0.023664319132398467,0.5170000000000001,0.03465704994818675,1.535045016699987,0.10251362853415691
mixed_dynamic,severe,wifi_sigma_db+blockage_prob,2.0,wifi_only,10,2.2992784400036297,0.22746665138171884,2.1365586000596957,2.4619982799475637,1.5990632591898593,0.23487504359354494,5.336764510049534,0.8030201411823218,4.762318506421222,5.911210513677846,0.40099999999999997,0.06935416353759881,0.324,0.05758086101783782,3.154333139590805,0.3821332781587605
vlp_blockage,0.10,blockage_prob,0.1,adaptive_fusion,10,0.6942445279140191,0.10753426332825974,0.6173191500136805,0.7711699058143577,0.5282315534252466,0.05075309843888984,1.3218111232575065,0.24072640187497477,1.1496058292267737,1.4940164172882393,0.036,0.02836272984824353,0.7979999999999999,0.06596295256514152,0.5632054234358209,0.07853029971396283
vlp_blockage,0.10,blockage_prob,0.1,graph_diffusion_3,10,0.9082118473470754,0.092204704978517,0.8422525748777056,0.9741711198164452,0.7447242614803464,0.08641007945042743,1.787919547142146,0.2922486476024404,1.578857458819153,1.996981635465139,0.073,0.039735234853828266,0.675,0.06570134448142342,1.072644792834335,0.09665421187269767
vlp_blockage,0.10,blockage_prob,0.1,static_fusion,10,1.0007854321958607,0.1449523010056122,0.8970928026351574,1.104478061756564,0.5506395287003523,0.06939807169757488,2.6911912186155815,0.7667328017949615,2.1427036138173188,3.2396788234138443,0.15399999999999997,0.04623610902506587,0.717,0.0679950978625175,1.2408605640984633,0.20174818067318814
vlp_blockage,0.10,blockage_prob,0.1,vlp_only,10,1.0010475794492852,0.1452835114022084,0.8971180162440476,1.1049771426545227,0.551552284387556,0.06869168832169856,2.6911912186155815,0.7667328017949615,2.1427036138173188,3.2396788234138443,0.15399999999999997,0.04623610902506587,0.717,0.0679950978625175,1.2402688606261132,0.2021046014410063
vlp_blockage,0.10,blockage_prob,0.1,wifi_only,10,1.357438801077118,0.1500835895433217,1.250075468824436,1.4648021333297998,1.090989209620473,0.06980566889570379,2.6863242175774986,0.40789447770067383,2.3945340860470243,2.978114349107973,0.187,0.042700507413066344,0.461,0.030349812373573423,1.903374192542077,0.26286592832820205
vlp_blockage,0.20,blockage_prob,0.2,adaptive_fusion,10,0.8057881411934626,0.09491277426152168,0.7378916326606484,0.8736846497262769,0.5276222112303012,0.04762696202708592,1.7047508866368932,0.47476545891621197,1.365124136884849,2.0443776363889374,0.08300000000000002,0.03831158803518562,0.765,0.05797509043642029,0.6790433601686631,0.06612886417630041
vlp_blockage,0.20,blockage_prob,0.2,graph_diffusion_3,10,0.9265912712053609,0.07601438399048058,0.8722138566646647,0.9809686857460571,0.7448031066299421,0.07664390086354317,1.8653584019292164,0.14677478347614267,1.7603620469472088,1.970354756911224,0.08399999999999999,0.019550504398153576,0.6579999999999999,0.05692099788303083,1.103369598429982,0.08642128943080035
vlp_blockage,0.20,blockage_prob,0.2,static_fusion,10,1.0778618606040102,0.11642938092637688,0.9945732989004373,1.161150422307583,0.5493925236887949,0.08988308358930223,2.908837716530624,0.4322965866226701,2.5995913678625513,3.2180840651986964,0.184,0.04501851470969102,0.7040000000000001,0.06719788356455547,1.3290309379473784,0.16723515576290443
