Scenario,Method,Mean error mean,Mean error std,median_error_m_mean,median_error_m_std,P90 error mean,P90 error std,zone_accuracy_mean,zone_accuracy_std,Failure rate mean,Failure rate std,Smoothness mean,Smoothness std
Clean,Adaptive DSP+GSP fusion,0.4515485995442427,0.0110070046161823,0.404554194216756,0.0311137060013906,0.7556032684167031,0.030711279396332,0.95,0.0199999999999999,0.004,0.0089442719099991,0.4547712045692703,0.0273976667398406
Clean,Static fusion,0.4502165728562846,0.0115421214533678,0.4032737183980734,0.0315095584633811,0.754449494417044,0.0315549546200132,0.95,0.0199999999999999,0.004,0.0089442719099991,0.4507308005288662,0.0213113906667705
Clean,Static fusion + graph diffusion,0.733116311668529,0.1206784589886341,0.633937576777735,0.0888388478485187,1.3192165697933382,0.2681507254184742,0.792,0.1010940156488008,0.032,0.0268328157299974,0.8385877873841976,0.1083497025615227
Clean,Static fusion + median DSP,0.6736813486537704,0.0195254116105908,0.6357613398830686,0.0380921100758318,1.0991044698373016,0.0354620083572566,0.8300000000000001,0.0316227766016837,0.004,0.0089442719099991,0.3670790008263337,0.0356391493346198
Clean,VLP only,0.4515485995442427,0.0110070046161823,0.404554194216756,0.0311137060013906,0.7556032684167031,0.030711279396332,0.95,0.0199999999999999,0.004,0.0089442719099991,0.4547712045692703,0.0273976667398406
Clean,WiFi only,1.365082922250325,0.1707876442620634,0.9982384442822388,0.0522624483733111,2.635039232764766,0.5347337791881656,0.502,0.0192353840616713,0.188,0.0535723809439155,1.9716652753991284,0.313876580774524
WiFi degraded,Adaptive DSP+GSP fusion,0.4511725442504462,0.0188396979817468,0.4065144922801552,0.0343889285761501,0.7573015007852776,0.088080031884064,0.948,0.0130384048104053,0.004,0.0054772255750516,0.461866146226433,0.0396540097915719
WiFi degraded,Static fusion,0.4665513659167336,0.0293064180106913,0.4054894334766531,0.0333350475721362,0.7589408086703442,0.0873856800181861,0.944,0.0151657508881031,0.006,0.0054772255750516,0.4963214697378218,0.0872510146161384
WiFi degraded,Static fusion + graph diffusion,1.1077918892733307,0.1466491380969576,0.8530608541159734,0.0937170810096776,2.307714687929712,0.4943479659562273,0.576,0.0502991053598372,0.1379999999999999,0.0601664358259652,1.3983417614019489,0.113800662730573
WiFi degraded,Static fusion + median DSP,0.6700319366838237,0.026650758960706,0.6440348876231503,0.0487847016147545,1.1050318950035545,0.0356276487429066,0.836,0.0240831891575846,0.002,0.0044721359549995,0.3645420591973272,0.0271399536529102
