scenario,method,mean_error_m_mean,mean_error_m_std,median_error_m_mean,median_error_m_std,p90_error_m_mean,p90_error_m_std,zone_accuracy_mean,zone_accuracy_std,failure_rate_mean,failure_rate_std,trajectory_smoothness_m_per_step_mean,trajectory_smoothness_m_per_step_std
s1_clean,static_fusion,0.45021657285628464,0.011542121453367839,0.40327371839807347,0.03150955846338113,0.754449494417044,0.03155495462001325,0.95,0.01999999999999997,0.004,0.00894427190999916,0.45073080052886627,0.021311390666770513
s1_clean,vlp_only,0.4515485995442427,0.011007004616182366,0.404554194216756,0.031113706001390688,0.7556032684167031,0.03071127939633207,0.95,0.01999999999999997,0.004,0.00894427190999916,0.45477120456927034,0.027397666739840662
s1_clean,wifi_only,1.3650829222503247,0.17078764426206341,0.9982384442822388,0.052262448373311114,2.635039232764766,0.5347337791881656,0.502,0.019235384061671374,0.188,0.0535723809439155,1.9716652753991284,0.31387658077452407
s2_wifi_degraded,static_fusion,0.4665513659167336,0.029306418010691334,0.40548943347665317,0.0333350475721362,0.7589408086703442,0.08738568001818614,0.944,0.0151657508881031,0.006,0.005477225575051661,0.4963214697378218,0.08725101461613842
s2_wifi_degraded,vlp_only,0.45068227641143344,0.0180844916494479,0.40548943347665317,0.0333350475721362,0.7573015007852776,0.08808003188406409,0.9480000000000001,0.013038404810405309,0.004,0.005477225575051661,0.461866146226433,0.0396540097915719
s2_wifi_degraded,wifi_only,2.2321939301598195,0.3108613156753795,1.5933809362910691,0.18901236894389892,5.079568210287954,1.096199938986315,0.32599999999999996,0.023021728866442673,0.392,0.06457553716385178,3.119568880986461,0.4445696731255205
s3_vlp_blocked,static_fusion,1.0128609722046762,0.09193701268097035,0.5248618068976836,0.0369708789770869,2.666784306268732,0.30470384757417984,0.73,0.054313902456001116,0.16799999999999998,0.045497252664309304,1.2826470444705615,0.1377505466747866
s3_vlp_blocked,vlp_only,1.015034442360823,0.09147759948184615,0.5248618068976836,0.0369708789770869,2.6889794780440837,0.31514459305126624,0.73,0.054313902456001116,0.16999999999999998,0.04527692569068708,1.285293222843958,0.13540532448825046
s3_vlp_blocked,wifi_only,1.369477114096608,0.14601741567055646,1.0470503351421585,0.05590551661807596,2.7921193012339507,0.46984503583721104,0.476,0.025099800796022257,0.192,0.04604345773288535,1.977879715827995,0.23012720898367117
s4_mixed_dynamic,static_fusion,0.7591597029223794,0.10094495360599182,0.46014832972422726,0.028266629128520907,1.7491055266214055,0.7039972117172738,0.842,0.03492849839314602,0.1,0.03535533905932738,0.916976261617142,0.1543543441176247
s4_mixed_dynamic,vlp_only,0.7591597029223794,0.10094495360599182,0.46014832972422726,0.028266629128520907,1.7491055266214055,0.7039972117172738,0.842,0.03492849839314602,0.1,0.03535533905932738,0.916976261617142,0.1543543441176247
s4_mixed_dynamic,wifi_only,1.9176437074471688,0.2257353539227831,1.4443652657568076,0.29313555314158407,3.985815806956546,0.6141466937290401,0.358,0.07854934754662193,0.33599999999999997,0.09423375191511796,2.7142835638821365,0.4504930950785332
