scenario,method,mean_error_m,median_error_m,p90_error_m,zone_accuracy,failure_rate,trajectory_smoothness_m_per_step,wifi_event_recovery_steps,vlp_event_recovery_steps
s1_clean,wifi_only,1.5344731227918489,1.0878908690851339,3.2226339077648327,0.47,0.24,2.203694132375135,0.0,0.0
s1_clean,vlp_only,0.4505891768643956,0.39937128281365647,0.7396984181726743,0.95,0.0,0.4922012329430086,0.0,0.0
s1_clean,static_fusion,0.4439290434246052,0.39296890372024407,0.733929548174379,0.95,0.0,0.4719992127409884,0.0,0.0
s2_wifi_degraded,wifi_only,2.706220778070177,1.7765072470287309,6.794706937234629,0.31,0.43,3.8504114494554003,2.25,0.0
s2_wifi_degraded,vlp_only,0.43347228639743834,0.39296890372024407,0.6841837291248524,0.95,0.0,0.4719992127409885,0.0,0.0
s2_wifi_degraded,static_fusion,0.5104740090767603,0.39296890372024407,0.6841837291248524,0.94,0.01,0.629990844819416,0.0,0.0
s3_vlp_blocked,wifi_only,1.4854834072793108,1.0147789176047444,2.9397892227286575,0.49,0.21,2.214346400235757,0.0,0.0
s3_vlp_blocked,vlp_only,0.9705085040336422,0.5053313303777734,2.878812927960542,0.75,0.12,1.2286483233355017,0.0,0.0
s3_vlp_blocked,static_fusion,0.9705243034658246,0.5053313303777734,2.878812927960542,0.75,0.12,1.2345653580590057,0.0,0.0
s4_mixed_dynamic,wifi_only,1.7643165702026806,1.086988900756318,4.646363157784259,0.46,0.21,2.243147704841105,1.3333333333333333,0.0
s4_mixed_dynamic,vlp_only,0.8553146014498416,0.44730967221629525,2.0158218357864652,0.82,0.1,1.0906494266716977,0.0,1.5
s4_mixed_dynamic,static_fusion,0.8553146014498416,0.44730967221629525,2.0158218357864652,0.82,0.1,1.0906494266716977,0.0,1.5
