seed,scenario,method_family,method_label,mean_error_m,median_error_m,p90_error_m,zone_accuracy,failure_rate,trajectory_smoothness_m_per_step
101,s1_clean,baseline,wifi_only,1.1311407083227163,1.0004566227023517,2.193678333715293,0.5,0.12,1.5746512894082505
101,s1_clean,baseline,vlp_only,0.4690428504901468,0.4202120253923582,0.7889094314575232,0.93,0.0,0.435779147714454
101,s1_clean,baseline,static_fusion,0.4690428504901468,0.4202120253923582,0.7889094314575232,0.93,0.0,0.435779147714454
101,s2_wifi_degraded,baseline,wifi_only,1.9292904681760064,1.5485600049459387,4.276704392001074,0.36,0.38,2.8083561776850687
101,s2_wifi_degraded,baseline,vlp_only,0.4724528817265758,0.4312906007852566,0.7242944988915151,0.94,0.01,0.5224103721845699
101,s2_wifi_degraded,baseline,static_fusion,0.4747966065737545,0.4312906007852566,0.7324910383168483,0.93,0.01,0.5366953576630861
101,s3_vlp_blocked,baseline,wifi_only,1.1911889807599452,0.9980954368542334,2.386653611413091,0.5,0.14,1.654648921504455
101,s3_vlp_blocked,baseline,vlp_only,1.1517575853600277,0.5853322379312011,2.8761749647411783,0.65,0.22,1.434473844064955
101,s3_vlp_blocked,baseline,static_fusion,1.1517575853600277,0.5853322379312011,2.8761749647411783,0.65,0.22,1.434473844064955
101,s4_mixed_dynamic,baseline,wifi_only,1.8853963306247412,1.5786553619184334,3.505148215478899,0.27,0.35,2.613727830747695
101,s4_mixed_dynamic,baseline,vlp_only,0.6687505634050117,0.4621360452191105,1.147504710556281,0.85,0.06,0.7355440978915595
101,s4_mixed_dynamic,baseline,static_fusion,0.6687505634050117,0.4621360452191105,1.147504710556281,0.85,0.06,0.7355440978915595
102,s1_clean,baseline,wifi_only,1.3246279451716376,0.9734821207470952,2.2862109903399856,0.51,0.19,1.968880826582018
102,s1_clean,baseline,vlp_only,0.4534430985952464,0.4342978842799154,0.7811391925964987,0.97,0.0,0.4702661533949903
102,s1_clean,baseline,static_fusion,0.4534430985952464,0.4342978842799154,0.7811391925964987,0.97,0.0,0.4702661533949903
102,s2_wifi_degraded,baseline,wifi_only,2.324002950885694,1.803081424083071,4.795798437693061,0.31,0.46,3.238004314593245
102,s2_wifi_degraded,baseline,vlp_only,0.4424130664402262,0.4342978842799154,0.7144998913897004,0.97,0.0,0.4618982026399784
102,s2_wifi_degraded,baseline,static_fusion,0.4424130664402262,0.4342978842799154,0.7144998913897004,0.97,0.0,0.4618982026399784
102,s3_vlp_blocked,baseline,wifi_only,1.4443992969179933,1.12361300536368,2.9969556564452504,0.44,0.21,2.0954188438701133
102,s3_vlp_blocked,baseline,vlp_only,1.0038411759950152,0.5176930096091821,2.8500020309499097,0.77,0.17,1.2104511399145217
102,s3_vlp_blocked,baseline,static_fusion,0.9929580257820972,0.5176930096091821,2.739026172073153,0.77,0.16,1.1913032133240355
