scenario,gsp_method,mean_error_m,median_error_m,p90_error_m,zone_accuracy,failure_rate,trajectory_smoothness_m_per_step,wifi_event_recovery_steps,vlp_event_recovery_steps
s1_clean,static_raw,0.7533534407705722,0.646437228504591,1.3989396504748748,0.76,0.06,0.95209599869369,0.0,0.0
s1_clean,graph_diffusion_1,0.755343219205102,0.6410887835306717,1.4013573856994144,0.75,0.06,0.9388292171403877,0.0,0.0
s1_clean,graph_diffusion_3,0.76624926858015,0.6477039207269166,1.402798543009592,0.77,0.06,0.9147942707214792,0.0,0.0
s1_clean,laplacian,0.7614941919222038,0.6425348313837895,1.4223872211830046,0.75,0.06,0.9369032275731405,0.0,0.0
s2_wifi_degraded,static_raw,1.0663042119199293,0.7850682664976341,2.3848839123870955,0.56,0.13,1.424223374554709,0.0,0.0
s2_wifi_degraded,graph_diffusion_1,1.0611147479966254,0.7687948015699979,2.309215007533351,0.54,0.13,1.4000126581701327,0.0,0.0
s2_wifi_degraded,graph_diffusion_3,1.0578373600619415,0.7775084326040791,2.1997605687524984,0.56,0.14,1.3588882133053601,0.0,0.0
s2_wifi_degraded,laplacian,1.066642190303873,0.7647434956098182,2.349111796760818,0.54,0.13,1.4024114512767052,0.0,0.0
s3_vlp_blocked,static_raw,0.9556860656330555,0.7501069391049006,1.895057997103855,0.65,0.09,1.2493686619815607,0.0,0.0
s3_vlp_blocked,graph_diffusion_1,0.9521462274208902,0.731953423954955,1.883164562334789,0.65,0.08,1.2288738661660392,0.0,0.0
s3_vlp_blocked,graph_diffusion_3,0.9535162717968484,0.7603231981783444,1.9167083824760403,0.65,0.08,1.1944337083605436,0.0,0.0
s3_vlp_blocked,laplacian,0.9569011808403625,0.7402010064322391,1.9144815025478759,0.65,0.08,1.2289076145338995,0.0,0.0
s4_mixed_dynamic,static_raw,1.0757577931107316,0.9898840980768091,1.9930782866429606,0.51,0.1,1.35562359120397,0.0,0.0
s4_mixed_dynamic,graph_diffusion_1,1.070002306838277,0.9921918943325032,1.957648677755234,0.5,0.09,1.3382716059548023,0.0,0.0
s4_mixed_dynamic,graph_diffusion_3,1.0675833544789226,0.970934813688932,1.89864305381373,0.51,0.09,1.308389767310233,0.0,0.0
s4_mixed_dynamic,laplacian,1.0738163144732094,0.9833024335537355,1.946855965330946,0.51,0.1,1.3351435052550655,0.0,0.0
