distance_m,blockage,count,mean_rssi_dbm,std_rssi_dbm,min_rssi_dbm,max_rssi_dbm,blocked_minus_normal_db
1.0,blocked,10,-50.8,5.051,-60.0,-46.0,-21.7
1.0,normal,10,-29.1,5.934,-37.0,-22.0,-21.7
2.0,blocked,10,-41.3,3.802,-50.0,-37.0,-14.6
2.0,normal,10,-26.7,3.02,-31.0,-24.0,-14.6
3.0,blocked,10,-44.3,3.889,-50.0,-40.0,-13.1
3.0,normal,10,-31.2,4.733,-36.0,-25.0,-13.1
4.0,blocked,10,-50.9,6.471,-62.0,-43.0,-15.8
4.0,normal,10,-35.1,4.175,-43.0,-30.0,-15.8
5.0,blocked,10,-47.8,7.815,-57.0,-37.0,-13.6
5.0,normal,10,-34.2,3.048,-41.0,-31.0,-13.6
6.0,blocked,10,-48.2,4.417,-54.0,-40.0,-9.9
6.0,normal,10,-38.3,6.019,-50.0,-32.0,-9.9
7.0,blocked,10,-61.1,5.384,-70.0,-54.0,-18.4
7.0,normal,10,-42.7,3.199,-47.0,-36.0,-18.4
8.0,blocked,10,-60.3,4.296,-67.0,-55.0,-18.1
8.0,normal,10,-42.2,4.962,-49.0,-36.0,-18.1
9.0,blocked,10,-55.4,3.658,-61.0,-50.0,-7.2
9.0,normal,10,-48.2,4.709,-55.0,-40.0,-7.2
10.0,blocked,10,-66.2,6.197,-75.0,-57.0,-17.1
10.0,normal,10,-49.1,2.558,-52.0,-46.0,-17.1
