method_family,scenario,runtime_method,mean_runtime_ms_per_step_mean,mean_runtime_ms_per_step_std
adaptive,s1_clean,adaptive_fusion,2.9342885560399736,0.06479474888311175
adaptive,s2_wifi_degraded,adaptive_fusion,2.9786250179022318,0.1250824904614967
adaptive,s3_vlp_blocked,adaptive_fusion,2.964593976023025,0.07237428300111186
adaptive,s4_mixed_dynamic,adaptive_fusion,2.964800146059133,0.05141995729124792
baseline,s1_clean,static_fusion,0.07030532800854412,0.0013792195745437278
baseline,s1_clean,vlp_only,0.6979006459587254,0.013119903973835815
baseline,s1_clean,wifi_only,0.6957402839470888,0.013271076818328549
baseline,s2_wifi_degraded,static_fusion,0.06998352995287856,0.0013411838937917532
baseline,s2_wifi_degraded,vlp_only,0.6919108900256106,0.014089354853515975
baseline,s2_wifi_degraded,wifi_only,0.6838224199964316,0.01355883340525511
baseline,s3_vlp_blocked,static_fusion,0.06960210009128782,0.0017202984089777305
baseline,s3_vlp_blocked,vlp_only,0.6927942758484278,0.01787744257090826
baseline,s3_vlp_blocked,wifi_only,0.6827806379733374,0.019243414217648795
baseline,s4_mixed_dynamic,static_fusion,0.07014246597827874,0.0013401812973863774
baseline,s4_mixed_dynamic,vlp_only,0.6949092860450037,0.011621631345340309
baseline,s4_mixed_dynamic,wifi_only,0.6845357920537936,0.013473766033404415
gsp,s1_clean,graph_diffusion_1,0.09587074202863728,0.002192759645208223
gsp,s1_clean,graph_diffusion_3,0.0896117519951076,0.00156482526676889
gsp,s1_clean,laplacian,0.08889695403195216,0.0013588505602746019
gsp,s1_clean,static_raw,1.8590602259791922,0.03605344026070635
gsp,s2_wifi_degraded,graph_diffusion_1,0.09349643406312676,0.0015950494041209152
gsp,s2_wifi_degraded,graph_diffusion_3,0.08853998799168035,0.0015287857562200984
gsp,s2_wifi_degraded,laplacian,0.08757269401394292,0.0017792353064392183
gsp,s2_wifi_degraded,static_raw,1.8251565999453305,0.04153661102556309
gsp,s3_vlp_blocked,graph_diffusion_1,0.0946842220946564,0.0015219240947162533
gsp,s3_vlp_blocked,graph_diffusion_3,0.08913548990676641,0.00188240481498308
gsp,s3_vlp_blocked,laplacian,0.0879586080773151,0.0017561614198271303
gsp,s3_vlp_blocked,static_raw,1.8466454760928173,0.04965526464531744
gsp,s4_mixed_dynamic,graph_diffusion_1,0.09416284794133387,0.0015597788993536904
gsp,s4_mixed_dynamic,graph_diffusion_3,0.0884260318780434,0.00138019130681098
gsp,s4_mixed_dynamic,laplacian,0.08751126398419726,0.0012044798140048042
gsp,s4_mixed_dynamic,static_raw,1.8389345860559843,0.04236843051827345
