seed,scenario,num_steps,wifi_degraded_steps,vlp_blocked_steps,mixed_dynamic_steps,wifi_degraded_fraction,vlp_blocked_fraction,mixed_dynamic_fraction
101,s1_clean,100,0,0,0,0.0,0.0,0.0
101,s2_wifi_degraded,100,48,0,0,0.48,0.0,0.0
101,s3_vlp_blocked,100,0,42,0,0.0,0.42,0.0
101,s4_mixed_dynamic,100,38,20,100,0.38,0.2,1.0
102,s1_clean,100,0,0,0,0.0,0.0,0.0
102,s2_wifi_degraded,100,44,0,0,0.44,0.0,0.0
102,s3_vlp_blocked,100,0,34,0,0.0,0.34,0.0
102,s4_mixed_dynamic,100,32,23,100,0.32,0.23,1.0
103,s1_clean,100,0,0,0,0.0,0.0,0.0
103,s2_wifi_degraded,100,39,0,0,0.39,0.0,0.0
103,s3_vlp_blocked,100,0,32,0,0.0,0.32,0.0
103,s4_mixed_dynamic,100,30,25,100,0.3,0.25,1.0
104,s1_clean,100,0,0,0,0.0,0.0,0.0
104,s2_wifi_degraded,100,50,0,0,0.5,0.0,0.0
104,s3_vlp_blocked,100,0,42,0,0.0,0.42,0.0
104,s4_mixed_dynamic,100,37,24,100,0.37,0.24,1.0
105,s1_clean,100,0,0,0,0.0,0.0,0.0
105,s2_wifi_degraded,100,53,0,0,0.53,0.0,0.0
105,s3_vlp_blocked,100,0,41,0,0.0,0.41,0.0
105,s4_mixed_dynamic,100,38,32,100,0.38,0.32,1.0
